REF;Nimi;Sarake1;REF2;Sarake3;OHS/kpl;Ohs;ALV %;MHS;Valuutta;Sarake6
WAMS-165-1645; Asahi Meister Peripheral Vascular Guide Wire 165cm;;WAMS-165-1645;;40;;24,00;;;
WAMS-165-16WA; Asahi Meister Peripheral Vascular Guide Wire 165cm;;WAMS-165-16WA;;40;;24,00;;;
PAGH18M071;"Asahi Astato 30 0.018"" 180 cm";;PAGH18M071;;50;250;24,00;550;EUR;True
PAGH18M371;"Asahi Astato 30 0.018"" 300 cm";;PAGH18M371;;50;250;24,00;750;EUR;True
PAGH143092;ASAHI Astato XS 20 180cm;;PAGH143092;;50;250;24,00;575;EUR;True
PAGH143392;ASAHI Astato XS 20 300cm;;PAGH143392;;50;250;24,00;750;;True
PAGHW143094;Asahi Astato XS 40 200 cm;;PAGHW143094;;60;300;24,00;750;EUR;True
PAGHW143394;Asahi Astato XS 40 300 cm;;PAGHW143394;;60;300;24,00;750;EUR;True
CRV135-19P;ASAHI Caravel 135cm Microcatheter;;CRV135-19P;;250;250;24,00;545;EUR;True
CRV150-19P;ASAHI Caravel 150cm Microcatheter ;;CRV150-19P;;250;250;24,00;545;EUR;True
WAIN-CKI-008-200;"ASAHI CHIKAI 008 200cm (0.008"")";;WAIN-CKI-008-200;;180;180;24,00;395;EUR;True
WAIN-CKI-10-200;"ASAHI CHIKAI 10 200cm (0.010"")";;WAIN-CKI-10-200;;140;140;24,00;380;EUR;True
WAIN-CKI-10-300;"ASAHI CHIKAI 10 300cm (0.010"")";;WAIN-CKI-10-300;;150;150;24,00;380;EUR;True
WAIN-CKI-200;"ASAHI CHIKAI 200cm (0.014"")";;WAIN-CKI-200;;140;140;24,00;340;EUR;True
WAIN-CKI-200-RC;"ASAHI CHIKAI 200cm (0.014"") Round curve";;WAIN-CKI-200-RC;;140;140;24,00;;;True
WAIN-CKI-300;"ASAHI CHIKAI 300cm (0.014"")";;WAIN-CKI-300;;150;150;24,00;340;EUR;True
WAIN-CKI-300-RC;"ASAHI CHIKAI 300cm (0.014"") Round curve";;WAIN-CKI-300-RC;;150;150;24,00;;;True
