Nimi;Muutettu;Määrä(Tuote);Määrä;Viimeinen käyttöpäivä;barcode tuote;Lot;Varasto
Abbott MINI TREK 1.20 mm x 06 mm/RX (70513G1915609);8.11.2017 14:35;1;"";30.4.2020;08717648138027;70513G1915609;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 1.20 mm x 06 mm/RX (71123G1913165);21.3.2018 14:18;1;"";31.10.2020;08717648138027;71123G1913165;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 1.20 mm x 08 mm/RX (61123G1913441);19.5.2017 12:48;1;"";31.10.2019;08717648138034;61123G1913441;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 1.20 mm x 08 mm/RX (61123G1913626);8.12.2017 11:13;-1;"";31.10.2019;08717648138034;61123G1913626;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 1.20 mm x 08 mm/RX (70306G1914083);13.6.2017 10:22;1;"";29.2.2020;08717648138034;70306G1914083;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 1.20 mm x 08 mm/RX (71130G1916147);13.4.2018 9:27;1;"";31.10.2020;08717648138034;71130G1916147;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 1.20 mm x 12 mm/RX (50810G1);21.2.2017 14:21;1;"";31.7.2018;08717648138041;50810G1;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 1.20 mm x 12 mm/RX (70222G1914049);1.9.2017 13:22;-1;"";31.1.2020;08717648138041;70222G1914049;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 1.20 mm x 12 mm/RX (70222G1915786);24.5.2017 10:02;1;"";31.1.2020;08717648138041;70222G1915786;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 1.20 mm x 12 mm/RX (70609G1914950);28.2.2018 14:46;-1;"";31.5.2020;08717648138041;70609G1914950;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 1.20 mm x 12 mm/RX (70609G1915718);19.9.2017 13:03;1;"";31.5.2020;08717648138041;70609G1915718;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 1.20 mm x 12 mm/RX (70926G1914637);12.12.2017 14:37;1;"";31.8.2020;08717648138041;70926G1914637;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 1.20 mm x 12 mm/RX (71113G1913960);28.2.2018 14:49;1;"";31.10.2020;08717648138041;71113G1913960;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 1.20 mm x 12 mm/RX (80209G1916368);8.5.2018 13:29;1;"";31.1.2021;08717648138041;80209G1916368;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 1.20 mm x 12 mm/RX (80209G1916369);9.5.2018 13:21;1;"";31.1.2021;08717648138041;80209G1916369;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 1.20 mm x 15 mm/RX (40912G1);4.10.2017 14:07;-1;"";31.8.2017;08717648138058;40912G1;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 1.20 mm x 15 mm/RX (70130G1914869);8.3.2017 14:50;1;"";31.12.2019;08717648138058;70130G1914869;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 1.20 mm x 15 mm/RX (70130G1915278);23.4.2018 10:53;-1;"";31.12.2019;08717648138058;70130G1915278;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 1.20 mm x 15 mm/RX (70509G1913775);13.10.2017 14:03;1;"";30.4.2020;08717648138058;70509G1913775;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 1.20 mm x 15 mm/RX (80115G1914468);13.4.2018 9:28;1;"";31.12.2020;08717648138058;80115G1914468;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 1.20 mm x 15 mm/RX (80115G1914576);23.4.2018 10:57;1;"";31.12.2020;08717648138058;80115G1914576;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 1.50 mm x 12 mm/RX (70308G1915044);1.9.2017 13:22;-1;"";29.2.2020;08717648138096;70308G1915044;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 1.50 mm x 12 mm/RX (70308G1915084);13.6.2017 10:22;1;"";29.2.2020;08717648138096;70308G1915084;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 1.50 mm x 12 mm/RX (70727G1913612);15.11.2017 13:15;-1;"";30.6.2020;08717648138096;70727G1913612;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 1.50 mm x 12 mm/RX (70727G1913613);13.10.2017 14:03;1;"";30.6.2020;08717648138096;70727G1913613;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 1.50 mm x 12 mm/RX (70809G1918416);18.10.2017 13:28;-1;"";31.7.2020;08717648138096;70809G1918416;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 1.50 mm x 12 mm/RX (70913G1914323);13.3.2018 14:30;-1;"";31.8.2020;08717648138096;70913G1914323;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 1.50 mm x 12 mm/RX (70913G1914337);15.11.2017 13:17;1;"";31.8.2020;08717648138096;70913G1914337;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 1.50 mm x 12 mm/RX (71115G1916913);13.3.2018 14:33;1;"";31.10.2020;08717648138096;71115G1916913;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 1.50 mm x 12 mm/RX (80102G1913875);29.3.2018 13:22;1;"";31.12.2020;08717648138096;80102G1913875;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 1.50 mm x 15 mm/RX (70619G1913474);10.10.2017 13:30;-2;"";31.5.2020;08717648138102;70619G1913474;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 1.50 mm x 15 mm/RX (70619G1913477);28.9.2017 11:07;1;"";31.5.2020;08717648138102;70619G1913477;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 1.50 mm x 15 mm/RX (70619G1913766);19.9.2017 13:03;1;"";31.5.2020;08717648138102;70619G1913766;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 1.50 mm x 15 mm/RX (80209G1916238);18.4.2018 14:17;1;"";31.1.2021;08717648138102;80209G1916238;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 2.0 mm x 12 mm/RX (61126G3914844);19.5.2017 12:45;-3;"";31.10.2019;08717648138140;61126G3914844;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 2.0 mm x 12 mm/RX (61126G3916981);8.3.2017 14:50;1;"";31.10.2019;08717648138140;61126G3916981;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 2.0 mm x 12 mm/RX (61126G3916984);6.4.2017 14:27;1;"";31.10.2019;08717648138140;61126G3916984;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 2.0 mm x 12 mm/RX (61126G3916992);8.3.2017 14:50;1;"";31.10.2019;08717648138140;61126G3916992;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 2.0 mm x 12 mm/RX (70120G1916965);30.3.2017 11:54;-1;"";31.12.2019;08717648138140;70120G1916965;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 2.0 mm x 12 mm/RX (70120G1917019);22.3.2017 14:33;1;"";31.12.2019;08717648138140;70120G1917019;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 2.0 mm x 12 mm/RX (70123G1917201);6.6.2017 11:34;-1;"";31.12.2019;08717648138140;70123G1917201;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 2.0 mm x 12 mm/RX (70123G1917202);9.5.2017 13:40;1;"";31.12.2019;08717648138140;70123G1917202;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 2.0 mm x 12 mm/RX (70214G1914420);12.9.2017 12:39;-1;"";31.1.2020;08717648138140;70214G1914420;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 2.0 mm x 12 mm/RX (70214G1914431);11.5.2017 13:35;1;"";31.1.2020;08717648138140;70214G1914431;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 2.0 mm x 12 mm/RX (70222G1913683);12.9.2017 12:39;-1;"";31.1.2020;08717648138140;70222G1913683;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 2.0 mm x 12 mm/RX (70222G1915400);19.5.2017 12:48;1;"";31.1.2020;08717648138140;70222G1915400;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 2.0 mm x 12 mm/RX (70327G1915853);4.9.2017 12:41;-1;"";29.2.2020;08717648138140;70327G1915853;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 2.0 mm x 12 mm/RX (70327G1915926);6.6.2017 11:38;1;"";29.2.2020;08717648138140;70327G1915926;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 2.0 mm x 12 mm/RX (70717G2917338);10.10.2017 13:29;-1;"";30.6.2020;08717648138140;70717G2917338;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 2.0 mm x 12 mm/RX (70717G2917346);1.9.2017 13:49;1;"";30.6.2020;08717648138140;70717G2917346;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 2.0 mm x 12 mm/RX (70731G1916695);20.10.2017 15:07;-1;"";30.6.2020;08717648138140;70731G1916695;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 2.0 mm x 12 mm/RX (70731G1916697);12.9.2017 12:37;1;"";30.6.2020;08717648138140;70731G1916697;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 2.0 mm x 12 mm/RX (70904G1914052);7.11.2017 14:08;-1;"";31.8.2020;08717648138140;70904G1914052;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 2.0 mm x 12 mm/RX (70904G1914054);16.10.2017 9:47;1;"";31.8.2020;08717648138140;70904G1914054;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 2.0 mm x 12 mm/RX (70911G1916181);6.2.2018 14:40;-1;"";31.8.2020;08717648138140;70911G1916181;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 2.0 mm x 12 mm/RX (70911G1916242);20.10.2017 15:09;1;"";31.8.2020;08717648138140;70911G1916242;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 2.0 mm x 12 mm/RX (70922G1916239);22.1.2018 13:16;-1;"";31.8.2020;08717648138140;70922G1916239;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 2.0 mm x 12 mm/RX (70922G1916243);6.11.2017 13:59;1;"";31.8.2020;08717648138140;70922G1916243;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 2.0 mm x 12 mm/RX (71002G1915987);22.2.2018 14:13;-1;"";30.9.2020;08717648138140;71002G1915987;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 2.0 mm x 12 mm/RX (71002G1915988);7.11.2017 14:10;1;"";30.9.2020;08717648138140;71002G1915988;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 2.0 mm x 12 mm/RX (71116G2914430);21.3.2018 14:27;-1;"";31.10.2020;08717648138140;71116G2914430;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 2.0 mm x 12 mm/RX (71116G2914983);12.1.2018 11:13;1;"";31.10.2020;08717648138140;71116G2914983;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 2.0 mm x 12 mm/RX (71130G1914476);8.2.2018 11:25;1;"";31.10.2020;08717648138140;71130G1914476;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 2.0 mm x 12 mm/RX (71130G1914477);6.2.2018 14:42;1;"";31.10.2020;08717648138140;71130G1914477;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 2.0 mm x 12 mm/RX (71130G1914479);9.5.2018 13:40;-2;"";31.10.2020;08717648138140;71130G1914479;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 2.0 mm x 12 mm/RX (71130G2914632);28.2.2018 14:49;1;"";31.10.2020;08717648138140;71130G2914632;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 2.0 mm x 12 mm/RX (71207G2916036);13.3.2018 14:34;1;"";30.11.2020;08717648138140;71207G2916036;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 2.0 mm x 12 mm/RX (71211G2914437);21.3.2018 14:33;1;"";30.11.2020;08717648138140;71211G2914437;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 2.0 mm x 12 mm/RX (80222G2917288);9.5.2018 13:23;1;"";31.1.2021;08717648138140;80222G2917288;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 2.0 mm x 12 mm/RX (80222G2917290);9.5.2018 13:21;1;"";31.1.2021;08717648138140;80222G2917290;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 2.0 mm x 12 mm/RX (80313G1913337);9.5.2018 13:45;1;"";28.2.2021;08717648138140;80313G1913337;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 2.0 mm x 15 mm/RX (51123G2);21.2.2017 14:21;1;"";31.10.2018;08717648138157;51123G2;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 2.0 mm x 15 mm/RX (61222G1914089);5.5.2017 13:12;-1;"";30.11.2019;08717648138157;61222G1914089;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 2.0 mm x 15 mm/RX (61222G1915197);9.5.2017 13:38;-1;"";30.11.2019;08717648138157;61222G1915197;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 2.0 mm x 15 mm/RX (61222G1915227);8.3.2017 14:48;1;"";30.11.2019;08717648138157;61222G1915227;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 2.0 mm x 15 mm/RX (61222G1915231);8.3.2017 14:48;1;"";30.11.2019;08717648138157;61222G1915231;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 2.0 mm x 15 mm/RX (61223G1913559);19.4.2017 14:30;-2;"";30.11.2019;08717648138157;61223G1913559;Jorvi Kaupintavarasto TREK
Abbott MINI TREK 2.0 mm x 15 mm/RX (61223G1914129);28.4.2017 13:44;1;"";30.11.2019;08717648138157;61223G1914129;Jorvi Kaupintavarasto TREK
