Nimi;Muutettu;Määrä(Tuote);Määrä;Viimeinen käyttöpäivä;barcode tuote;Lot;Varasto
BioFreedom 2.50 x 14 mm (W16120110D);19.12.2017 10:19;2;"";15.12.2018;08888893014470;W16120110D;Jyväskulä kaupintavarasto BFR1
BioFreedom 2.50 x 18 mm (W16090162);20.4.2017 14:37;2;"";14.3.2018;08888893014487;W16090162;Jyväskulä kaupintavarasto BFR1
BioFreedom 2.50 x 24 mm (W17100299H);9.2.2018 14:32;1;"";30.4.2019;08888893014494;W17100299H;Jyväskulä kaupintavarasto BFR1
BioFreedom 3.00 x 14 mm (W16090166);5.12.2016 13:57;1;"";14.3.2018;08888893014630;W16090166;Jyväskulä kaupintavarasto BFR1
BioFreedom 3.00 x 14 mm (W16100629);20.4.2017 14:37;1;"";30.4.2018;08888893014630;W16100629;Jyväskulä kaupintavarasto BFR1
BioFreedom 3.00 x 18 mm (W17010134D);9.2.2018 14:32;1;"";16.1.2019;08888893014647;W17010134D;Jyväskulä kaupintavarasto BFR1
BioFreedom 3.00 x 24 mm (W16100141);1.8.2017 14:32;1;"";12.4.2018;08888893014654;W16100141;Jyväskulä kaupintavarasto BFR1
BioFreedom 3.00 x 24 mm (W17010137);1.8.2017 14:33;1;"";16.7.2018;08888893014654;W17010137;Jyväskulä kaupintavarasto BFR1
BioFreedom 3.50 x 14 mm (W15090485Z);28.10.2016 12:28;1;"";11.2.2018;08888893014715;W15090485Z;Jyväskulä kaupintavarasto BFR1
BioFreedom 3.50 x 14 mm (W16080105);5.10.2016 14:05;1;"";11.2.2018;08888893014715;W16080105;Jyväskulä kaupintavarasto BFR1
BioFreedom 3.50 x 18 mm (W16090137);17.2.2017 13:27;1;"";14.3.2018;08888893014722;W16090137;Jyväskulä kaupintavarasto BFR1
BioFreedom 3.50 x 18 mm (W17030317D);7.12.2017 13:56;1;"";22.3.2019;08888893014722;W17030317D;Jyväskulä kaupintavarasto BFR1
BioFreedom 3.50 x 24 mm (W17070120);24.11.2017 14:13;1;"";10.1.2019;08888893014739;W17070120;Jyväskulä kaupintavarasto BFR1
BioFreedom 4.00 x 14 mm (W16100389);7.12.2017 13:56;1;"";24.4.2018;08888893014791;W16100389;Jyväskulä kaupintavarasto BFR1
BioFreedom 4.00 x 18 mm (W16080103);5.10.2016 14:05;1;"";11.2.2018;08888893014807;W16080103;Jyväskulä kaupintavarasto BFR1
BioFreedom 4.00 x 24 mm (W16080092);5.10.2016 14:05;1;"";11.2.2018;08888893014814;W16080092;Jyväskulä kaupintavarasto BFR1
