Nimi;Muutettu;Määrä(Tuote);Määrä;Viimeinen käyttöpäivä;barcode tuote;Lot;Varasto
Abbott Xience 3.5 mm x 33 mm (7110741915275);19.1.2018 14:15;1;"";10.11.2020;08717648161896;7110741915275;Kajaani kaupintavarasto BMXP BFR1
Abbott Xience 3.5 mm x 33 mm (7110741915276);19.1.2018 14:15;1;"";10.11.2020;08717648161896;7110741915276;Kajaani kaupintavarasto BMXP BFR1
Abbott Xience PRO 48 3.5 mm x 48 mm (8031541915251);22.5.2018 13:10;1;"";28.3.2021;08717648191695;8031541915251;Kajaani kaupintavarasto BMXP BFR1
Abbott Xience PROX 2.0 mm x 15 mm (7022241915023);19.1.2018 14:00;1;"";27.2.2020;08717648163937;7022241915023;Kajaani kaupintavarasto BMXP BFR1
Abbott Xience PROX 2.0 mm x 18 mm (7022341915352);19.1.2018 13:54;1;"";5.3.2020;08717648163944;7022341915352;Kajaani kaupintavarasto BMXP BFR1
Abbott Xience PROX 2.0 mm x 23 mm (6102441915105);19.1.2018 14:11;1;"";2.11.2019;08717648163951;6102441915105;Kajaani kaupintavarasto BMXP BFR1
Abbott Xience PROX 2.25 mm x 15 mm (7091441915190);19.1.2018 14:00;1;"";21.9.2020;08717648164033;7091441915190;Kajaani kaupintavarasto BMXP BFR1
Abbott Xience PROX 2.25 mm x 23 mm (7090441915045);19.1.2018 14:11;1;"";11.9.2020;08717648164057;7090441915045;Kajaani kaupintavarasto BMXP BFR1
Abbott Xience PROX 2.5 mm x 12 mm (7102541915260);19.1.2018 14:05;1;"";9.11.2020;08717648164125;7102541915260;Kajaani kaupintavarasto BMXP BFR1
Abbott Xience PROX 2.5 mm x 15 mm (7120141915744);10.4.2018 10:05;1;"";6.12.2020;08717648164132;7120141915744;Kajaani kaupintavarasto BMXP BFR1
Abbott Xience PROX 2.5 mm x 15 mm (8030741915166);20.4.2018 14:25;1;"";18.3.2021;08717648164132;8030741915166;Kajaani kaupintavarasto BMXP BFR1
Abbott Xience PROX 2.5 mm x 18 mm (7112041916012);19.1.2018 13:53;1;"";27.11.2020;08717648164149;7112041916012;Kajaani kaupintavarasto BMXP BFR1
Abbott Xience PROX 2.5 mm x 18 mm (8020541916234);4.5.2018 13:04;1;"";14.2.2021;08717648164149;8020541916234;Kajaani kaupintavarasto BMXP BFR1
Abbott Xience PROX 2.5 mm x 23 mm (7082341915136);28.2.2018 13:47;1;"";4.9.2020;08717648164156;7082341915136;Kajaani kaupintavarasto BMXP BFR1
Abbott Xience PROX 2.5 mm x 23 mm (7091841915331);28.2.2018 13:46;1;"";27.9.2020;08717648164156;7091841915331;Kajaani kaupintavarasto BMXP BFR1
Abbott Xience PROX 2.5 mm x 28 mm (7121441915160);31.1.2018 12:27;1;"";20.12.2020;08717648164163;7121441915160;Kajaani kaupintavarasto BMXP BFR1
Abbott Xience PROX 2.5 mm x 28 mm (8022741915701);14.5.2018 12:18;1;"";14.3.2021;08717648164163;8022741915701;Kajaani kaupintavarasto BMXP BFR1
Abbott Xience PROX 2.5 mm x 8 mm (7102641915465);19.1.2018 14:05;1;"";9.11.2020;08717648164118;7102641915465;Kajaani kaupintavarasto BMXP BFR1
Abbott Xience PROX 2.75 mm x 18 mm (8010541915201);4.5.2018 13:04;1;"";16.1.2021;08717648164248;8010541915201;Kajaani kaupintavarasto BMXP BFR1
Abbott Xience PROX 2.75 mm x 23 mm (8012641915590);4.5.2018 13:04;1;"";8.2.2021;08717648164255;8012641915590;Kajaani kaupintavarasto BMXP BFR1
Abbott Xience PROX 3.0 mm 33 mm (7111741915516);6.4.2018 12:52;-1;"";27.11.2020;08717648164378;7111741915516;Kajaani kaupintavarasto BMXP BFR1
Abbott Xience PROX 3.0 mm 33 mm (7111741915723);2.2.2018 13:14;1;"";27.11.2020;08717648164378;7111741915723;Kajaani kaupintavarasto BMXP BFR1
Abbott Xience PROX 3.0 mm 33 mm (8013141915495);6.4.2018 12:56;1;"";8.2.2021;08717648164378;8013141915495;Kajaani kaupintavarasto BMXP BFR1
Abbott Xience PROX 3.0 mm x 12 mm (8010341915316);28.5.2018 9:40;1;"";10.1.2021;08717648164323;8010341915316;Kajaani kaupintavarasto BMXP BFR1
Abbott Xience PROX 3.0 mm x 15 mm (8011841915693);21.3.2018 13:15;1;"";29.1.2021;08717648164330;8011841915693;Kajaani kaupintavarasto BMXP BFR1
Abbott Xience PROX 3.0 mm x 15 mm (8020541916078);6.4.2018 12:56;1;"";11.2.2021;08717648164330;8020541916078;Kajaani kaupintavarasto BMXP BFR1
Abbott Xience PROX 3.0 mm x 18 mm (8030541915343);28.5.2018 9:41;1;"";14.3.2021;08717648164347;8030541915343;Kajaani kaupintavarasto BMXP BFR1
Abbott Xience PROX 3.0 mm x 18 mm (8030541915535);28.5.2018 9:40;1;"";14.3.2021;08717648164347;8030541915535;Kajaani kaupintavarasto BMXP BFR1
Abbott Xience PROX 3.0 mm x 23 mm (7112241916037);23.1.2018 11:24;1;"";3.12.2020;08717648164354;7112241916037;Kajaani kaupintavarasto BMXP BFR1
Abbott Xience PROX 3.0 mm x 23 mm (8012941915266);28.5.2018 9:38;-1;"";8.2.2021;08717648164354;8012941915266;Kajaani kaupintavarasto BMXP BFR1
Abbott Xience PROX 3.0 mm x 23 mm (8012941915927);29.5.2018 12:57;1;"";8.2.2021;08717648164354;8012941915927;Kajaani kaupintavarasto BMXP BFR1
Abbott Xience PROX 3.0 mm x 23 mm (8012941915928);28.5.2018 9:40;1;"";8.2.2021;08717648164354;8012941915928;Kajaani kaupintavarasto BMXP BFR1
Abbott Xience PROX 3.0 mm x 23 mm (8012941916662);18.4.2018 14:07;1;"";8.2.2021;08717648164354;8012941916662;Kajaani kaupintavarasto BMXP BFR1
Abbott Xience PROX 3.0 mm x 28 mm (7072441916305);17.5.2018 14:31;1;"";2.8.2020;08717648164361;7072441916305;Kajaani kaupintavarasto BMXP BFR1
Abbott Xience PROX 3.0 mm x 28 mm (7111741915850);10.4.2018 10:03;-1;"";22.11.2020;08717648164361;7111741915850;Kajaani kaupintavarasto BMXP BFR1
