Nimi;Muutettu;Määrä(Tuote);Määrä;Viimeinen käyttöpäivä;barcode tuote;Lot;Varasto
Abbott Xience 3.5 mm x 33 mm (7111841915317);26.1.2018 13:08;1;"";26.11.2020;08717648161896;7111841915317;Kemi Kaupintavarasto BMX6
Abbott Xience PROX 2.5 mm x 12 mm (7102541915261);26.1.2018 13:14;1;"";9.11.2020;08717648164125;7102541915261;Kemi Kaupintavarasto BMX6
Abbott Xience PROX 2.5 mm x 12 mm (7112141915413);26.1.2018 13:13;1;"";26.11.2020;08717648164125;7112141915413;Kemi Kaupintavarasto BMX6
Abbott Xience PROX 2.5 mm x 12 mm (7112141915451);26.1.2018 13:13;1;"";26.11.2020;08717648164125;7112141915451;Kemi Kaupintavarasto BMX6
Abbott Xience PROX 2.5 mm x 15 mm (7082141916093);26.1.2018 13:13;1;"";30.8.2020;08717648164132;7082141916093;Kemi Kaupintavarasto BMX6
Abbott Xience PROX 2.5 mm x 15 mm (7091241915424);26.1.2018 13:13;1;"";27.9.2020;08717648164132;7091241915424;Kemi Kaupintavarasto BMX6
Abbott Xience PROX 2.5 mm x 18 mm (7090641916017);26.1.2018 13:13;1;"";12.9.2020;08717648164149;7090641916017;Kemi Kaupintavarasto BMX6
Abbott Xience PROX 2.5 mm x 23 mm (7120241915553);17.4.2018 13:20;1;"";6.12.2020;08717648164156;7120241915553;Kemi Kaupintavarasto BMX6
Abbott Xience PROX 2.5 mm x 28 mm (7112741915266);26.1.2018 13:13;1;"";3.12.2020;08717648164163;7112741915266;Kemi Kaupintavarasto BMX6
Abbott Xience PROX 2.5 mm x 33 mm (7101341915258);26.1.2018 13:13;1;"";24.10.2020;08717648164170;7101341915258;Kemi Kaupintavarasto BMX6
Abbott Xience PROX 3.0 mm 33 mm (7111741915649);26.1.2018 13:16;1;"";27.11.2020;08717648164378;7111741915649;Kemi Kaupintavarasto BMX6
Abbott Xience PROX 3.0 mm x 12 mm (7102441915629);26.1.2018 13:18;1;"";1.11.2020;08717648164323;7102441915629;Kemi Kaupintavarasto BMX6
Abbott Xience PROX 3.0 mm x 12 mm (7102441915834);26.1.2018 13:18;1;"";1.11.2020;08717648164323;7102441915834;Kemi Kaupintavarasto BMX6
Abbott Xience PROX 3.0 mm x 15 mm (8020541915666);18.4.2018 14:42;1;"";11.2.2021;08717648164330;8020541915666;Kemi Kaupintavarasto BMX6
Abbott Xience PROX 3.0 mm x 18 mm (8030541915940);16.5.2018 10:39;1;"";14.3.2021;08717648164347;8030541915940;Kemi Kaupintavarasto BMX6
Abbott Xience PROX 3.0 mm x 23 mm (7112241916038);26.1.2018 13:16;1;"";3.12.2020;08717648164354;7112241916038;Kemi Kaupintavarasto BMX6
Abbott Xience PROX 3.0 mm x 38 mm (7102741916176);26.1.2018 13:15;1;"";9.11.2020;08717648164385;7102741916176;Kemi Kaupintavarasto BMX6
Abbott Xience PROX 3.5 mm x 08 mm (7102641915417);26.1.2018 13:11;1;"";9.11.2020;08717648161834;7102641915417;Kemi Kaupintavarasto BMX6
Abbott Xience PROX 3.5 mm x 12 mm (7102441915710);26.1.2018 13:11;1;"";30.10.2020;08717648161841;7102441915710;Kemi Kaupintavarasto BMX6
Abbott Xience PROX 3.5 mm x 12 mm (7102441915715);26.1.2018 13:10;1;"";30.10.2020;08717648161841;7102441915715;Kemi Kaupintavarasto BMX6
Abbott Xience PROX 3.5 mm x 15 mm (7111641915945);26.1.2018 13:10;1;"";21.11.2020;08717648161858;7111641915945;Kemi Kaupintavarasto BMX6
Abbott Xience PROX 3.5 mm x 15 mm (7111641915946);26.1.2018 13:10;1;"";21.11.2020;08717648161858;7111641915946;Kemi Kaupintavarasto BMX6
Abbott Xience PROX 3.5 mm x 18 mm (7111741915544);26.1.2018 13:09;1;"";26.11.2020;08717648161865;7111741915544;Kemi Kaupintavarasto BMX6
Abbott Xience PROX 3.5 mm x 23 mm (7110741915848);26.1.2018 13:09;1;"";13.11.2020;08717648161872;7110741915848;Kemi Kaupintavarasto BMX6
Abbott Xience PROX 3.5 mm x 38 mm (7111441915035);26.1.2018 13:08;1;"";20.11.2020;08717648161902;7111441915035;Kemi Kaupintavarasto BMX6
Abbott Xience PROX 4.0 mm x 12 mm (7091541915175);26.1.2018 13:08;1;"";25.9.2020;08717648164477;7091541915175;Kemi Kaupintavarasto BMX6
BioMatrix Alpha 2.5 x 09 mm (W17040482);17.4.2018 13:16;1;"";26.4.2019;08888893018690;W17040482;Kemi Kaupintavarasto BMX6
BioMatrix Alpha 2.5 x 14 mm (W16040284D);6.2.2018 11:35;1;"";20.4.2018;08888893018706;W16040284D;Kemi Kaupintavarasto BMX6
BioMatrix Alpha 2.5 x 14 mm (W17120176);17.4.2018 13:17;2;"";13.12.2019;08888893018706;W17120176;Kemi Kaupintavarasto BMX6
BioMatrix Alpha 2.5 x 14 mm (W18030187);19.4.2018 14:39;1;"";8.3.2020;08888893018706;W18030187;Kemi Kaupintavarasto BMX6
BioMatrix Alpha 2.50 x 19 mm (W18030458);19.4.2018 14:39;1;"";2.4.2020;08888893018713;W18030458;Kemi Kaupintavarasto BMX6
BioMatrix Alpha 2.50 x 24 mm (W17110395);10.4.2018 9:47;1;"";30.11.2019;08888893018720;W17110395;Kemi Kaupintavarasto BMX6
BioMatrix Alpha 2.50 x 29 mm (W18030468);19.4.2018 14:45;1;"";2.4.2020;08888893018737;W18030468;Kemi Kaupintavarasto BMX6
BioMatrix Alpha 2.50 x 33 mm (W17020426D);29.9.2017 13:59;1;"";20.2.2019;08888893018744;W17020426D;Kemi Kaupintavarasto BMX6
BioMatrix Alpha 3.00 x 09 mm (W16050393D);11.9.2017 14:53;1;"";6.6.2018;08888893018836;W16050393D;Kemi Kaupintavarasto BMX6
BioMatrix Alpha 3.00 x 14 mm (W17100057);17.4.2018 13:18;2;"";10.10.2019;08888893018843;W17100057;Kemi Kaupintavarasto BMX6
BioMatrix Alpha 3.00 x 14 mm (W17110102);26.3.2018 13:19;1;"";7.11.2019;08888893018843;W17110102;Kemi Kaupintavarasto BMX6
BioMatrix Alpha 3.00 x 19 mm (W16040086D);31.3.2017 14:32;1;"";11.4.2018;08888893018850;W16040086D;Kemi Kaupintavarasto BMX6
BioMatrix Alpha 3.00 x 19 mm (W18030449);19.4.2018 14:39;1;"";2.4.2020;08888893018850;W18030449;Kemi Kaupintavarasto BMX6
BioMatrix Alpha 3.00 x 24 mm (W17110398);17.4.2018 13:18;2;"";30.11.2019;08888893018867;W17110398;Kemi Kaupintavarasto BMX6
BioMatrix Alpha 3.00 x 29 mm (W17120378);20.4.2018 14:39;1;"";26.12.2019;08888893018874;W17120378;Kemi Kaupintavarasto BMX6
BioMatrix Alpha 3.00 x 33 mm (W18010089);6.3.2018 14:55;1;"";10.1.2020;08888893018881;W18010089;Kemi Kaupintavarasto BMX6
BioMatrix Alpha 3.00 x 36 mm (W17040481);17.4.2018 13:18;1;"";26.4.2019;08888893018898;W17040481;Kemi Kaupintavarasto BMX6
BioMatrix Alpha 3.5 x 09 mm (W17030103);12.3.2018 12:59;1;"";6.3.2019;08888893018904;W17030103;Kemi Kaupintavarasto BMX6
BioMatrix Alpha 3.5 x 14 mm (W17120379);17.4.2018 13:20;2;"";26.12.2019;08888893018911;W17120379;Kemi Kaupintavarasto BMX6
BioMatrix Alpha 3.5 x 19 mm (W17030203);13.9.2017 14:58;1;"";16.3.2019;08888893018928;W17030203;Kemi Kaupintavarasto BMX6
BioMatrix Alpha 3.5 x 19 mm (W17110511);2.5.2018 13:08;1;"";5.12.2019;08888893018928;W17110511;Kemi Kaupintavarasto BMX6
BioMatrix Alpha 3.5 x 24 mm (W17110516);12.3.2018 12:59;2;"";5.12.2019;08888893018935;W17110516;Kemi Kaupintavarasto BMX6
BioMatrix Alpha 3.5 x 33 mm (W17110099);20.4.2018 14:39;2;"";7.11.2019;08888893018959;W17110099;Kemi Kaupintavarasto BMX6
BioMatrix Alpha 4.0 x 14 mm (W17110521);17.4.2018 13:14;1;"";5.12.2019;08888893018980;W17110521;Kemi Kaupintavarasto BMX6
BioMatrix Alpha 4.00 x 19 mm (W17030331);17.4.2018 13:16;2;"";22.3.2019;08888893018997;W17030331;Kemi Kaupintavarasto BMX6
BioFreedom 2.50 x 11 mm (W17040307);11.9.2017 8:03;1;"";24.10.2018;08888893014463;W17040307;Kemi Kaupintavarasto BMXP BFR1
BioFreedom 2.50 x 14 mm (W16120110D);23.1.2018 12:52;1;"";15.12.2018;08888893014470;W16120110D;Kemi Kaupintavarasto BMXP BFR1
BioFreedom 2.50 x 18 mm (W17040254Z);27.2.2018 10:16;1;"";17.4.2019;08888893014487;W17040254Z;Kemi Kaupintavarasto BMXP BFR1
BioFreedom 2.50 x 24 mm (W17040267Z);27.2.2018 10:16;1;"";17.4.2019;08888893014494;W17040267Z;Kemi Kaupintavarasto BMXP BFR1
BioFreedom 2.50 x 28 mm (W17070179Z);17.4.2018 13:23;2;"";19.7.2019;08888893014500;W17070179Z;Kemi Kaupintavarasto BMXP BFR1
BioFreedom 3.00 x 11 mm (W16120348);18.8.2017 13:18;1;"";27.6.2018;08888893014623;W16120348;Kemi Kaupintavarasto BMXP BFR1
BioFreedom 3.00 x 14 mm (W17020475);22.9.2017 14:19;1;"";2.9.2018;08888893014630;W17020475;Kemi Kaupintavarasto BMXP BFR1
BioFreedom 3.00 x 18 mm (W16120329);13.10.2017 13:17;1;"";27.6.2018;08888893014647;W16120329;Kemi Kaupintavarasto BMXP BFR1
BioFreedom 3.00 x 24 mm (W17100301H);17.4.2018 13:23;1;"";30.4.2019;08888893014654;W17100301H;Kemi Kaupintavarasto BMXP BFR1
BioFreedom 3.00 x 28 mm (W17100337H);17.4.2018 13:23;1;"";7.5.2019;08888893014661;W17100337H;Kemi Kaupintavarasto BMXP BFR1
BioFreedom 3.50 x 11 mm (W18020336);23.4.2018 10:39;2;"";26.2.2020;08888893014708;W18020336;Kemi Kaupintavarasto BMXP BFR1
BioFreedom 3.50 x 14 mm (W17030201Z);6.4.2018 13:54;1;"";8.3.2019;08888893014715;W17030201Z;Kemi Kaupintavarasto BMXP BFR1
BioFreedom 3.50 x 18 mm (W17030316D);20.10.2017 11:08;1;"";22.3.2019;08888893014722;W17030316D;Kemi Kaupintavarasto BMXP BFR1
BioFreedom 3.50 x 24 mm (W17090160);17.4.2018 13:23;1;"";3.10.2019;08888893014739;W17090160;Kemi Kaupintavarasto BMXP BFR1
