Nimi;Muutettu;Määrä(Tuote);Määrä;Viimeinen käyttöpäivä;barcode tuote;Lot;Varasto
BioFreedom 2.50 x 08 mm (W16120235D);21.12.2017 10:30;1;"";21.12.2018;08888893014456;W16120235D;KYS Kaupintavarasto BMX6
BioFreedom 2.50 x 11 mm (W16080080);9.8.2017 14:59;1;"";8.2.2018;08888893014463;W16080080;KYS Kaupintavarasto BMX6
BioFreedom 2.50 x 14 mm (W16080328);4.10.2016 14:23;1;"";17.2.2018;08888893014470;W16080328;KYS Kaupintavarasto BMX6
BioFreedom 2.50 x 18 mm (W16080546);4.10.2016 14:23;1;"";1.3.2018;08888893014487;W16080546;KYS Kaupintavarasto BMX6
BioFreedom 2.50 x 24 mm (W16080082);4.10.2016 14:23;1;"";8.2.2018;08888893014494;W16080082;KYS Kaupintavarasto BMX6
BioFreedom 2.50 x 28 mm (W16080083);4.10.2016 14:23;1;"";8.2.2018;08888893014500;W16080083;KYS Kaupintavarasto BMX6
BioFreedom 2.50 x 33 mm (W16080547);3.8.2017 11:28;1;"";1.3.2018;08888893014517;W16080547;KYS Kaupintavarasto BMX6
BioFreedom 2.50 x 36 mm (W16080320);15.11.2017 14:56;1;"";17.2.2018;08888893014524;W16080320;KYS Kaupintavarasto BMX6
BioFreedom 3.00 x 11 mm (W16080087);27.4.2018 13:17;1;"";8.2.2018;08888893014623;W16080087;KYS Kaupintavarasto BMX6
BioFreedom 3.00 x 11 mm (W17100289H);27.4.2018 13:19;1;"";30.4.2019;08888893014623;W17100289H;KYS Kaupintavarasto BMX6
BioFreedom 3.00 x 14 mm (W16120251D);21.11.2017 13:41;2;"";21.12.2018;08888893014630;W16120251D;KYS Kaupintavarasto BMX6
BioFreedom 3.00 x 18 mm (W16120329);21.11.2017 13:40;1;"";27.6.2018;08888893014647;W16120329;KYS Kaupintavarasto BMX6
BioFreedom 3.00 x 18 mm (W17070159);21.11.2017 13:41;1;"";13.1.2019;08888893014647;W17070159;KYS Kaupintavarasto BMX6
BioFreedom 3.00 x 24 mm (W17040277Z);20.3.2018 13:32;1;"";17.4.2019;08888893014654;W17040277Z;KYS Kaupintavarasto BMX6
BioFreedom 3.00 x 24 mm (W17050523);27.12.2017 14:08;1;"";6.12.2018;08888893014654;W17050523;KYS Kaupintavarasto BMX6
