BioFreedom 2.50 x 08 mm (W16120235D);08888893014456;W16120235D;2018-12-21;1
BioFreedom 2.50 x 11 mm (W16080080);08888893014463;W16080080;2018-02-08;1
BioFreedom 2.50 x 14 mm (W16080328);08888893014470;W16080328;2018-02-17;1
BioFreedom 2.50 x 18 mm (W16080546);08888893014487;W16080546;2018-03-01;1
BioFreedom 2.50 x 24 mm (W16080082);08888893014494;W16080082;2018-02-08;1
BioFreedom 2.50 x 28 mm (W16080083);08888893014500;W16080083;2018-02-08;1
BioFreedom 2.50 x 33 mm (W16080547);08888893014517;W16080547;2018-03-01;1
BioFreedom 2.50 x 36 mm (W16080320);08888893014524;W16080320;2018-02-17;1
BioFreedom 3.00 x 11 mm (W16080087);08888893014623;W16080087;2018-02-08;1
BioFreedom 3.00 x 11 mm (W17100289H);08888893014623;W17100289H;2019-04-30;1
BioFreedom 3.00 x 14 mm (W16120251D);08888893014630;W16120251D;2018-12-21;2
BioFreedom 3.00 x 18 mm (W16120329);08888893014647;W16120329;2018-06-27;1
BioFreedom 3.00 x 18 mm (W17070159);08888893014647;W17070159;2019-01-13;1
BioFreedom 3.00 x 24 mm (W17040277Z);08888893014654;W17040277Z;2019-04-17;1
BioFreedom 3.00 x 24 mm (W17050523);08888893014654;W17050523;2018-12-06;1
BioFreedom 3.00 x 28 mm (W16080348);08888893014661;W16080348;2018-02-17;1
BioFreedom 3.00 x 33 mm (W16090168);08888893014678;W16090168;2018-03-14;1
BioFreedom 3.00 x 36 mm (W16080324);08888893014685;W16080324;2018-02-17;1
BioFreedom 3.50 x 11 mm (W16060291);08888893014708;W16060291;2017-12-16;1
BioFreedom 3.50 x 14 mm (W16120343D);08888893014715;W16120343D;2018-12-27;1
BioFreedom 3.50 x 14 mm (W17070129);08888893014715;W17070129;2019-01-13;1
BioFreedom 3.50 x 18 mm (W16120346);08888893014722;W16120346;2018-06-27;1
BioFreedom 3.50 x 18 mm (W17030316D);08888893014722;W17030316D;2019-03-22;1
BioFreedom 3.50 x 24 mm (W16120120);08888893014739;W16120120;2018-06-15;1
BioFreedom 3.50 x 24 mm (W17010139);08888893014739;W17010139;2018-07-16;1
BioFreedom 3.50 x 28 mm (W16080102);08888893014746;W16080102;2018-02-11;1
BioFreedom 3.50 x 33 mm (W16090413);08888893014753;W16090413;2018-03-26;2
BioFreedom 3.50 x 36 mm (W16070336);08888893014760;W16070336;2018-01-20;1
BioMatrix Alpha 2.5 x 09 mm (W16030302);08888893018690;W16030302;2017-03-14;1
BioMatrix Alpha 2.5 x 14 mm (W16020233);08888893018706;W16020233;2017-02-28;1
BioMatrix Alpha 2.5 x 14 mm (W16030052);08888893018706;W16030052;2017-03-07;1
BioMatrix Alpha 2.5 x 14 mm (W17120176);08888893018706;W17120176;2019-12-13;1
BioMatrix Alpha 2.5 x 36 mm (W16120368);08888893018751;W16120368;2017-12-28;1
BioMatrix Alpha 2.5 x 36 mm (W17020099);08888893018751;W17020099;2018-02-06;1
BioMatrix Alpha 2.5 x 36 mm (W17020423);08888893018751;W17020423;2018-02-20;1
BioMatrix Alpha 2.50 x 19 mm (W16100596);08888893018713;W16100596;2017-11-02;1
BioMatrix Alpha 2.50 x 24 mm (W16020332);08888893018720;W16020332;2017-03-07;1
BioMatrix Alpha 2.50 x 24 mm (W16040279D);08888893018720;W16040279D;2018-04-20;1
BioMatrix Alpha 2.50 x 29 mm (W17020095);08888893018737;W17020095;2018-02-06;1
BioMatrix Alpha 2.50 x 29 mm (W17020151);08888893018737;W17020151;2018-02-14;1
BioMatrix Alpha 2.50 x 33 mm (W16030162);08888893018744;W16030162;2017-03-14;1
BioMatrix Alpha 2.50 x 33 mm (W17020105D);08888893018744;W17020105D;2019-02-06;1
BioMatrix Alpha 2.75 x 09 mm (W16020123);08888893018768;W16020123;2017-02-28;1
BioMatrix Alpha 2.75 x 14 mm (W16030395D);08888893018775;W16030395D;2018-03-28;1
BioMatrix Alpha 2.75 x 19 mm (W16020124);08888893018782;W16020124;2017-02-28;1
BioMatrix Alpha 2.75 x 24 mm (W16020239);08888893018799;W16020239;2017-02-28;1
BioMatrix Alpha 2.75 x 33 mm (W16120341);08888893018812;W16120341;2017-12-28;1
BioMatrix Alpha 2.75 x 36 mm (W17090074);08888893018829;W17090074;2019-09-19;1
BioMatrix Alpha 3.00 x 09 mm (W16030044);08888893018836;W16030044;2017-03-07;1
BioMatrix Alpha 3.00 x 14 mm (W16030576D);08888893018843;W16030576D;2018-04-04;1
BioMatrix Alpha 3.00 x 14 mm (W16040547D);08888893018843;W16040547D;2018-05-03;1
BioMatrix Alpha 3.00 x 19 mm (W16020120);08888893018850;W16020120;2017-02-28;1
BioMatrix Alpha 3.00 x 19 mm (W16030447);08888893018850;W16030447;2017-03-28;1
BioMatrix Alpha 3.00 x 19 mm (W17030221);08888893018850;W17030221;2019-03-16;1
BioMatrix Alpha 3.00 x 24 mm (W16030306);08888893018867;W16030306;2017-03-21;1
BioMatrix Alpha 3.00 x 24 mm (W16050180D);08888893018867;W16050180D;2018-05-11;1
BioMatrix Alpha 3.00 x 24 mm (W16100610);08888893018867;W16100610;2017-11-02;1
BioMatrix Alpha 3.00 x 29 mm (W16120364);08888893018874;W16120364;2017-12-28;1
BioMatrix Alpha 3.00 x 33 mm (W17030446);08888893018881;W17030446;2019-03-29;1
BioMatrix Alpha 3.00 x 36 mm (W16120080);08888893018898;W16120080;2017-12-13;2
BioMatrix Alpha 3.5 x 09 mm (W16030305);08888893018904;W16030305;2017-03-21;1
BioMatrix Alpha 3.5 x 09 mm (W16100613);08888893018904;W16100613;2017-11-02;1
BioMatrix Alpha 3.5 x 14 mm (W16040287D);08888893018911;W16040287D;2018-04-20;1
BioMatrix Alpha 3.5 x 14 mm (W16050105D);08888893018911;W16050105D;2018-05-09;1
BioMatrix Alpha 3.5 x 19 mm (W16030039);08888893018928;W16030039;2017-03-07;3
