Nimi;Muutettu;Määrä(Tuote);Määrä;Viimeinen käyttöpäivä;barcode tuote;Lot;Varasto
Abbott MINI TREK 1.50 mm x 12 mm/RX (70809G1918433);5.9.2017 11:06;1;"";31.7.2020;08717648138096;70809G1918433;lappeenranta TREK kaupintavarasto
Abbott MINI TREK 1.50 mm x 15 mm/RX (70526G1915172);16.2.2018 10:29;-1;"";30.4.2020;08717648138102;70526G1915172;lappeenranta TREK kaupintavarasto
Abbott MINI TREK 1.50 mm x 15 mm/RX (70526G1915177);23.8.2017 14:03;1;"";30.4.2020;08717648138102;70526G1915177;lappeenranta TREK kaupintavarasto
Abbott MINI TREK 1.50 mm x 15 mm/RX (80209G1916244);23.4.2018 9:59;1;"";31.1.2021;08717648138102;80209G1916244;lappeenranta TREK kaupintavarasto
Abbott MINI TREK 1.50 mm x 15 mm/RX (80209G1916246);26.4.2018 13:00;1;"";31.1.2021;08717648138102;80209G1916246;lappeenranta TREK kaupintavarasto
Abbott MINI TREK 2.0 mm x 12 mm/RX (70222G1);23.8.2017 14:02;-1;"";20.1.2031;08717648138140;70222G1;lappeenranta TREK kaupintavarasto
Abbott MINI TREK 2.0 mm x 12 mm/RX (71116G2914578);2.2.2018 14:05;1;"";31.10.2020;08717648138140;71116G2914578;lappeenranta TREK kaupintavarasto
Abbott MINI TREK 2.0 mm x 12 mm/RX (71116G2914981);12.1.2018 11:26;1;"";31.10.2020;08717648138140;71116G2914981;lappeenranta TREK kaupintavarasto
Abbott MINI TREK 2.0 mm x 12 mm/RX (80222G1916087);8.5.2018 16:15;1;"";31.1.2021;08717648138140;80222G1916087;lappeenranta TREK kaupintavarasto
Abbott MINI TREK 2.0 mm x 12 mm/RX (80222G2917287);8.5.2018 16:21;1;"";31.1.2021;08717648138140;80222G2917287;lappeenranta TREK kaupintavarasto
Abbott MINI TREK 2.0 mm x 15 mm/RX (70106G1);24.7.2017 13:40;-1;"";19.12.2031;08717648138157;70106G1;lappeenranta TREK kaupintavarasto
Abbott MINI TREK 2.0 mm x 15 mm/RX (70513G1916291);23.8.2017 12:48;-1;"";30.4.2020;08717648138157;70513G1916291;lappeenranta TREK kaupintavarasto
Abbott MINI TREK 2.0 mm x 15 mm/RX (70513G1916294);23.8.2017 12:48;-1;"";30.4.2020;08717648138157;70513G1916294;lappeenranta TREK kaupintavarasto
Abbott MINI TREK 2.0 mm x 15 mm/RX (70513G1916309);19.7.2017 13:54;1;"";30.4.2020;08717648138157;70513G1916309;lappeenranta TREK kaupintavarasto
Abbott MINI TREK 2.0 mm x 15 mm/RX (70613G1915071);5.10.2017 14:17;-1;"";31.5.2020;08717648138157;70613G1915071;lappeenranta TREK kaupintavarasto
Abbott MINI TREK 2.0 mm x 15 mm/RX (70613G1915077);22.8.2017 13:13;1;"";31.5.2020;08717648138157;70613G1915077;lappeenranta TREK kaupintavarasto
Abbott MINI TREK 2.0 mm x 15 mm/RX (71130G1914640);30.1.2018 15:01;1;"";31.10.2020;08717648138157;71130G1914640;lappeenranta TREK kaupintavarasto
Abbott MINI TREK 2.0 mm x 15 mm/RX (71130G1914673);21.3.2018 13:44;-1;"";31.10.2020;08717648138157;71130G1914673;lappeenranta TREK kaupintavarasto
Abbott MINI TREK 2.0 mm x 15 mm/RX (80122G1916232);28.3.2018 13:36;1;"";31.12.2020;08717648138157;80122G1916232;lappeenranta TREK kaupintavarasto
Abbott MINI TREK 2.0 mm x 15 mm/RX (80122G1916244);28.3.2018 13:37;1;"";31.12.2020;08717648138157;80122G1916244;lappeenranta TREK kaupintavarasto
Abbott MINI TREK 2.0 mm x 15 mm/RX (80209G1917115);18.4.2018 13:52;1;"";31.1.2021;08717648138157;80209G1917115;lappeenranta TREK kaupintavarasto
