Nimi;Muutettu;Määrä(Tuote);Määrä;Viimeinen käyttöpäivä;barcode tuote;Lot;Varasto
Abbott MINI TREK 1.20 mm x 08 mm/RX (80308G1913087);23.5.2018 14:51;1;"";28.2.2021;08717648138034;80308G1913087;Mehiläinen
Abbott MINI TREK 1.50 mm x 08 mm/RX (70331G1914554);15.3.2018 11:09;1;"";29.2.2020;08717648138089;70331G1914554;Mehiläinen
Abbott MINI TREK 1.50 mm x 12 mm/RX (71201G1915406);15.3.2018 11:09;1;"";30.11.2020;08717648138096;71201G1915406;Mehiläinen
Abbott MINI TREK 1.50 mm x 12 mm/RX (71201G1916880);15.3.2018 11:10;1;"";30.11.2020;08717648138096;71201G1916880;Mehiläinen
Abbott MINI TREK 1.50 mm x 15 mm/RX (80102G1916934);15.3.2018 11:10;1;"";31.12.2020;08717648138102;80102G1916934;Mehiläinen
Abbott MINI TREK 1.50 mm x 15 mm/RX (80209G1916240);25.4.2018 10:45;1;"";31.1.2021;08717648138102;80209G1916240;Mehiläinen
Abbott MINI TREK 2.0 mm x 08 mm/RX (71207G1913859);15.3.2018 11:10;1;"";30.11.2020;08717648138133;71207G1913859;Mehiläinen
Abbott MINI TREK 2.0 mm x 12 mm/RX (71207G2916041);15.3.2018 11:17;1;"";30.11.2020;08717648138140;71207G2916041;Mehiläinen
Abbott MINI TREK 2.0 mm x 12 mm/RX (71211G1913297);15.3.2018 11:17;1;"";30.11.2020;08717648138140;71211G1913297;Mehiläinen
Abbott MINI TREK 2.0 mm x 12 mm/RX (71211G1913299);15.3.2018 11:17;1;"";30.11.2020;08717648138140;71211G1913299;Mehiläinen
Abbott MINI TREK 2.0 mm x 12 mm/RX (71211G1913301);15.3.2018 11:17;1;"";30.11.2020;08717648138140;71211G1913301;Mehiläinen
Abbott MINI TREK 2.0 mm x 15 mm/RX (80109G1913941);25.4.2018 10:31;-1;"";31.12.2020;08717648138157;80109G1913941;Mehiläinen
Abbott MINI TREK 2.0 mm x 15 mm/RX (80109G1915413);15.3.2018 11:32;1;"";31.12.2020;08717648138157;80109G1915413;Mehiläinen
Abbott MINI TREK 2.0 mm x 15 mm/RX (80214G1913727);25.4.2018 10:46;1;"";31.1.2021;08717648138157;80214G1913727;Mehiläinen
Abbott MINI TREK 2.0 mm x 15 mm/RX (80301G1915241);14.5.2018 14:25;1;"";28.2.2021;08717648138157;80301G1915241;Mehiläinen
Abbott MINI TREK 2.0 mm x 15 mm/RX (80305G1913013);23.5.2018 15:34;1;"";28.2.2021;08717648138157;80305G1913013;Mehiläinen
Abbott MINI TREK 2.0 mm x 15 mm/RX (80305G1913081);23.5.2018 15:36;1;"";28.2.2021;08717648138157;80305G1913081;Mehiläinen
Abbott MINI TREK 2.0 mm x 20 mm/RX (80222G1914404);11.4.2018 14:23;1;"";31.1.2021;08717648138164;80222G1914404;Mehiläinen
Abbott MINI TREK 2.0 mm x 20 mm/RX (80228G2916450);25.4.2018 10:59;1;"";31.1.2021;08717648138164;80228G2916450;Mehiläinen
Abbott MINI TREK 2.0 mm x 20 mm/RX (80412G1915278);23.5.2018 15:23;1;"";31.3.2021;08717648138164;80412G1915278;Mehiläinen
Abbott MINI TREK 2.0 mm x 25 mm/RX (70628G1913062);11.4.2018 14:25;1;"";31.5.2020;08717648138171;70628G1913062;Mehiläinen
Abbott MINI TREK 2.0 mm x 30 mm/RX (71205G1913481);15.3.2018 11:35;1;"";30.11.2020;08717648138188;71205G1913481;Mehiläinen
Abbott NC TREK 2.0 mm x 15 mm/RX (71211G1913529);15.3.2018 10:54;1;"";30.11.2020;08717648151651;71211G1913529;Mehiläinen
Abbott NC TREK 2.0 mm x 20 mm/RX (71117G1914326);15.3.2018 10:54;1;"";31.10.2020;08717648151668;71117G1914326;Mehiläinen
Abbott NC TREK 2.5 mm x 12 mm/RX (80119G1914287);11.4.2018 14:25;1;"";31.12.2020;08717648151750;80119G1914287;Mehiläinen
Abbott NC TREK 2.5 mm x 15 mm/RX (71207G2915060);15.3.2018 10:55;1;"";30.11.2020;08717648151767;71207G2915060;Mehiläinen
Abbott NC TREK 2.5 mm x 20 mm/RX (80112G1914954);15.3.2018 10:57;1;"";31.12.2020;08717648151774;80112G1914954;Mehiläinen
Abbott NC TREK 2.5 mm x 20 mm/RX (80112G1914956);15.3.2018 10:55;1;"";31.12.2020;08717648151774;80112G1914956;Mehiläinen
Abbott NC TREK 2.75 mm x 12 mm/RX (70825G1915218);15.3.2018 10:59;1;"";31.7.2020;08717648151811;70825G1915218;Mehiläinen
Abbott NC TREK 2.75 mm x 15 mm/RX (71002G1913838);15.3.2018 10:57;1;"";30.9.2020;08717648151828;71002G1913838;Mehiläinen
Abbott NC TREK 2.75 mm x 20 mm/RX (71003G1914173);15.3.2018 10:57;1;"";30.9.2020;08717648151835;71003G1914173;Mehiläinen
Abbott NC TREK 3.0 mm x 12 mm/RX (71207G2914162);14.5.2018 14:19;-1;"";30.11.2020;08717648151866;71207G2914162;Mehiläinen
Abbott NC TREK 3.0 mm x 12 mm/RX (71207G2914164);15.3.2018 10:59;1;"";30.11.2020;08717648151866;71207G2914164;Mehiläinen
Abbott NC TREK 3.0 mm x 12 mm/RX (80124G1914337);25.4.2018 11:01;1;"";31.12.2020;08717648151866;80124G1914337;Mehiläinen
Abbott NC TREK 3.0 mm x 12 mm/RX (80201G1915112);14.5.2018 14:29;1;"";31.1.2021;08717648151866;80201G1915112;Mehiläinen
Abbott NC TREK 3.0 mm x 12 mm/RX (80305G2913291);23.5.2018 14:52;1;"";28.2.2021;08717648151866;80305G2913291;Mehiläinen
Abbott NC TREK 3.0 mm x 15 mm/RX (80115G1913062);15.3.2018 11:00;1;"";31.12.2020;08717648151873;80115G1913062;Mehiläinen
Abbott NC TREK 3.0 mm x 15 mm/RX (80115G1913063);15.3.2018 11:00;1;"";31.12.2020;08717648151873;80115G1913063;Mehiläinen
Abbott NC TREK 3.0 mm x 15 mm/RX (80310G2914903);23.5.2018 15:24;1;"";28.2.2021;08717648151873;80310G2914903;Mehiläinen
