Abbott Xience 3.5 mm x 33 mm (6111741915186);08717648161896;6111741;2019-11-28;0
Abbott Xience 3.5 mm x 33 mm (7022141915331);08717648161896;7022141;2020-02-27;0
Abbott Xience 3.5 mm x 33 mm (7072041915295);08717648161896;7072041;2020-07-31;1
Abbott Xience 3.5 mm x 33 mm (8020241915053);08717648161896;8020241;2021-02-11;2
Abbott Xience PRO 48 2.5 mm x 48 mm (7081141915209);08717648191671;7081141;2020-08-17;1
Abbott Xience PRO 48 2.5 mm x 48 mm (7100242915156);08717648191671;7100242;2020-10-08;2
Abbott Xience PRO 48 2.5 mm x 48 mm (7120641915084);08717648191671;7120641;2020-12-13;1
Abbott Xience PRO 48 2.5 mm x 48 mm (8021241915541);08717648191671;8021241;2021-02-21;2
Abbott Xience PRO 48 2.75 mm x 48 mm (6110841915212);08717648191664;6110841;2019-11-15;1
Abbott Xience PRO 48 2.75 mm x 48 mm (7071341915119);08717648191664;7071341;2020-07-19;2
Abbott Xience PRO 48 3.0 mm x 48 mm (6110941);08717648191688;6110941;2019-11-15;-1
Abbott Xience PRO 48 3.0 mm x 48 mm (6121241915278);08717648191688;6121241;2020-01-02;1
Abbott Xience PRO 48 3.0 mm x 48 mm (7010941915205);08717648191688;7010941;2020-01-18;-1
Abbott Xience PRO 48 3.0 mm x 48 mm (7071241915460);08717648191688;7071241;2020-07-19;1
Abbott Xience PRO 48 3.0 mm x 48 mm (7120641915033);08717648191688;7120641;2020-12-13;-1
Abbott Xience PRO 48 3.0 mm x 48 mm (8013141915226);08717648191688;8013141;2021-02-11;2
Abbott Xience PRO 48 3.0 mm x 48 mm (8021441915092);08717648191688;8021441;2021-02-26;4
Abbott Xience PRO 48 3.5 mm x 48 mm (6083141915905);08717648191695;6083141;2019-09-11;0
Abbott Xience PRO 48 3.5 mm x 48 mm (7011141915237);08717648191695;7011141;2020-01-18;1
Abbott Xience PRO 48 3.5 mm x 48 mm (7091241915079);08717648191695;7091241;2020-09-18;0
Abbott Xience PRO 48 3.5 mm x 48 mm (7100541915300);08717648191695;7100541;2020-10-17;3
