Nimi;Muutettu;Määrä(Tuote);Määrä;Viimeinen käyttöpäivä;barcode tuote;Lot;Varasto
Abbott Xience 3.5 mm x 33 mm (6111741915186);24.8.2017 13:57;-1;"";28.11.2019;08717648161896;6111741915186;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience 3.5 mm x 33 mm (7022141915331);17.8.2017 9:30;-1;"";27.2.2020;08717648161896;7022141915331;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience 3.5 mm x 33 mm (7072041915295);6.4.2018 15:07;1;"";31.7.2020;08717648161896;7072041915295;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience 3.5 mm x 33 mm (7110741915164);2.1.2018 11:05;1;"";10.11.2020;08717648161896;7110741915164;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience 3.5 mm x 33 mm (8020241915053);8.5.2018 15:50;1;"";11.2.2021;08717648161896;8020241915053;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience 3.5 mm x 33 mm (8020241915525);13.4.2018 13:19;1;"";11.2.2021;08717648161896;8020241915525;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PRO 48 2.5 mm x 48 mm (6083141);19.5.2017 11:06;1;"";11.9.2019;08717648191671;6083141;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PRO 48 2.5 mm x 48 mm (7081141915209);1.2.2018 16:06;1;"";17.8.2020;08717648191671;7081141915209;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PRO 48 2.5 mm x 48 mm (7100242915156);5.2.2018 14:19;1;"";8.10.2020;08717648191671;7100242915156;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PRO 48 2.5 mm x 48 mm (7100242915342);1.2.2018 16:06;1;"";8.10.2020;08717648191671;7100242915342;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PRO 48 2.5 mm x 48 mm (7100242915588);8.1.2018 13:41;1;"";8.10.2020;08717648191671;7100242915588;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PRO 48 2.5 mm x 48 mm (7120641915084);9.4.2018 14:19;1;"";13.12.2020;08717648191671;7120641915084;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PRO 48 2.75 mm x 48 mm (6110841915212);16.1.2018 14:27;-3;"";15.11.2019;08717648191664;6110841915212;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PRO 48 2.75 mm x 48 mm (7071341915119);26.3.2018 14:30;1;"";19.7.2020;08717648191664;7071341915119;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PRO 48 2.75 mm x 48 mm (7071341915134);1.2.2018 16:05;1;"";19.7.2020;08717648191664;7071341915134;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PRO 48 3.0 mm x 48 mm (6110941);20.11.2017 13:18;-1;"";15.11.2019;08717648191688;6110941;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PRO 48 3.0 mm x 48 mm (6110941915074);5.3.2018 13:54;1;"";15.11.2019;08717648191688;6110941915074;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PRO 48 3.0 mm x 48 mm (6110941915354);6.4.2018 14:51;-1;"";15.11.2019;08717648191688;6110941915354;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PRO 48 3.0 mm x 48 mm (6121241915278);14.3.2018 13:16;1;"";2.1.2020;08717648191688;6121241915278;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PRO 48 3.0 mm x 48 mm (7010941915205);20.10.2017 13:04;-1;"";18.1.2020;08717648191688;7010941915205;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PRO 48 3.0 mm x 48 mm (7071241915460);14.3.2018 12:54;-2;"";19.7.2020;08717648191688;7071241915460;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PRO 48 3.0 mm x 48 mm (7071241915461);1.2.2018 15:59;1;"";19.7.2020;08717648191688;7071241915461;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PRO 48 3.0 mm x 48 mm (7071241915722);12.1.2018 13:52;1;"";19.7.2020;08717648191688;7071241915722;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PRO 48 3.0 mm x 48 mm (7071241915723);12.1.2018 13:40;1;"";19.7.2020;08717648191688;7071241915723;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PRO 48 3.0 mm x 48 mm (7071241915724);15.1.2018 14:37;1;"";19.7.2020;08717648191688;7071241915724;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PRO 48 3.0 mm x 48 mm (7071241915853);26.1.2018 14:03;1;"";19.7.2020;08717648191688;7071241915853;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PRO 48 3.0 mm x 48 mm (7071241916573);5.2.2018 14:35;-2;"";19.7.2020;08717648191688;7071241916573;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PRO 48 3.0 mm x 48 mm (7120641915033);19.3.2018 14:01;1;"";13.12.2020;08717648191688;7120641915033;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PRO 48 3.0 mm x 48 mm (7120641915200);19.4.2018 13:50;-1;"";13.12.2020;08717648191688;7120641915200;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PRO 48 3.0 mm x 48 mm (7120641915369);15.3.2018 13:36;1;"";13.12.2020;08717648191688;7120641915369;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PRO 48 3.0 mm x 48 mm (8013141915226);6.4.2018 15:07;1;"";11.2.2021;08717648191688;8013141915226;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PRO 48 3.0 mm x 48 mm (8013141915254);27.4.2018 14:14;1;"";11.2.2021;08717648191688;8013141915254;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PRO 48 3.0 mm x 48 mm (8013141915255);19.4.2018 14:04;1;"";11.2.2021;08717648191688;8013141915255;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PRO 48 3.0 mm x 48 mm (8013141915256);19.4.2018 14:04;1;"";11.2.2021;08717648191688;8013141915256;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PRO 48 3.0 mm x 48 mm (8013141915455);11.5.2018 14:04;-1;"";11.2.2021;08717648191688;8013141915455;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PRO 48 3.0 mm x 48 mm (8021441915502);11.5.2018 14:11;1;"";26.2.2021;08717648191688;8021441915502;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PRO 48 3.5 mm x 48 mm (6083141915905);27.4.2018 13:57;-1;"";11.9.2019;08717648191695;6083141915905;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PRO 48 3.5 mm x 48 mm (6083141915956);2.3.2018 9:45;1;"";11.9.2019;08717648191695;6083141915956;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PRO 48 3.5 mm x 48 mm (7011141915237);8.3.2018 13:22;1;"";18.1.2020;08717648191695;7011141915237;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PRO 48 3.5 mm x 48 mm (7091241915079);13.3.2018 12:57;-1;"";18.9.2020;08717648191695;7091241915079;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PRO 48 3.5 mm x 48 mm (7091241915133);1.2.2018 15:39;1;"";18.9.2020;08717648191695;7091241915133;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PRO 48 3.5 mm x 48 mm (7100541915300);8.3.2018 13:21;1;"";17.10.2020;08717648191695;7100541915300;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PRO 48 3.5 mm x 48 mm (7100541915301);13.3.2018 13:02;1;"";17.10.2020;08717648191695;7100541915301;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PRO 48 3.5 mm x 48 mm (7100541915321);19.3.2018 14:01;1;"";17.10.2020;08717648191695;7100541915321;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PRO 48 3.5 mm x 48 mm (8012641915187);27.4.2018 14:14;1;"";4.2.2021;08717648191695;8012641915187;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PRO 48 3.5 mm x 48 mm (8012641915271);2.5.2018 14:52;1;"";4.2.2021;08717648191695;8012641915271;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 2.5 mm x 12 mm (6112141915520);31.5.2017 14:48;-2;"";28.11.2019;08717648164125;6112141915520;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 2.5 mm x 12 mm (7032141915166);30.6.2017 10:49;-1;"";28.3.2020;08717648164125;7032141915166;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 2.5 mm x 12 mm (7041341915606);24.8.2017 13:57;-1;"";25.4.2020;08717648164125;7041341915606;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 2.5 mm x 12 mm (7042841915363);5.4.2018 12:59;1;"";9.5.2020;08717648164125;7042841915363;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 2.5 mm x 12 mm (7042841915806);9.3.2018 11:00;1;"";9.5.2020;08717648164125;7042841915806;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 2.5 mm x 12 mm (7062641915114);14.9.2017 12:51;-1;"";3.7.2020;08717648164125;7062641915114;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 2.5 mm x 12 mm (7072541915223);27.11.2017 14:01;-1;"";2.8.2020;08717648164125;7072541915223;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 2.5 mm x 12 mm (7082241915671);7.5.2018 13:58;1;"";28.8.2020;08717648164125;7082241915671;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 2.5 mm x 12 mm (7121343915432);15.2.2018 9:45;1;"";29.12.2020;08717648164125;7121343915432;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 2.5 mm x 15 mm (6111041916146);12.4.2017 13:10;-1;"";22.11.2019;08717648164132;6111041916146;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 2.5 mm x 15 mm (7021341915574);21.8.2017 13:06;-2;"";1.3.2020;08717648164132;7021341915574;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 2.5 mm x 15 mm (7030141916127);5.12.2017 9:50;-1;"";13.3.2020;08717648164132;7030141916127;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 2.5 mm x 15 mm (7030141916172);14.3.2018 13:16;1;"";13.3.2020;08717648164132;7030141916172;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 2.5 mm x 15 mm (7080341915079);1.2.2018 16:07;1;"";13.8.2020;08717648164132;7080341915079;HUS Meilahti kaupinta varasto BMXP BMX6
