Nimi;Muutettu;Määrä(Tuote);Määrä;Viimeinen käyttöpäivä;barcode tuote;Lot;Varasto
Abbott NC TREK 2.0 mm x 15 mm/RX (71211G1914850);15.2.2018 13:28;1;"";30.11.2020;08717648151651;71211G1914850;Peijas BMXP BMX6
Abbott NC TREK 3.5 mm x 15 mm/RX (70826G1913979);1.12.2017 13:05;1;"";31.7.2020;08717648151989;70826G1913979;Peijas BMXP BMX6
Abbott NC TREK 4.5 mm x 8 mm/RX (71102G1913312);1.12.2017 13:05;1;"";31.10.2020;08717648152092;71102G1913312;Peijas BMXP BMX6
Abbott Xience 3.5 mm x 33 mm (7022141915301);24.8.2017 13:17;-1;"";27.2.2020;08717648161896;7022141915301;Peijas BMXP BMX6
Abbott Xience 3.5 mm x 33 mm (7022141915492);3.5.2017 13:11;1;"";27.2.2020;08717648161896;7022141915492;Peijas BMXP BMX6
Abbott Xience 3.5 mm x 33 mm (7062941915353);18.10.2017 14:28;-1;"";5.7.2020;08717648161896;7062941915353;Peijas BMXP BMX6
Abbott Xience 3.5 mm x 33 mm (7062941915445);15.9.2017 9:55;1;"";5.7.2020;08717648161896;7062941915445;Peijas BMXP BMX6
Abbott Xience 3.5 mm x 33 mm (7072041915040);7.11.2017 12:33;-1;"";31.7.2020;08717648161896;7072041915040;Peijas BMXP BMX6
Abbott Xience 3.5 mm x 33 mm (7072041915391);6.10.2017 13:08;1;"";31.7.2020;08717648161896;7072041915391;Peijas BMXP BMX6
Abbott Xience 3.5 mm x 33 mm (7090641915392);21.11.2017 14:08;1;"";12.9.2020;08717648161896;7090641915392;Peijas BMXP BMX6
Abbott Xience PRO 48 2.5 mm x 48 mm (7120641915165);10.4.2018 10:27;1;"";13.12.2020;08717648191671;7120641915165;Peijas BMXP BMX6
Abbott Xience PRO 48 3.0 mm x 48 mm (7010941915112);1.2.2018 13:39;-1;"";18.1.2020;08717648191688;7010941915112;Peijas BMXP BMX6
Abbott Xience PRO 48 3.0 mm x 48 mm (7010941915133);3.4.2017 14:12;1;"";18.1.2020;08717648191688;7010941915133;Peijas BMXP BMX6
Abbott Xience PRO 48 3.0 mm x 48 mm (7010941915445);3.4.2017 14:12;1;"";18.1.2020;08717648191688;7010941915445;Peijas BMXP BMX6
Abbott Xience PRO 48 3.0 mm x 48 mm (7120641915032);16.3.2018 11:23;1;"";13.12.2020;08717648191688;7120641915032;Peijas BMXP BMX6
Abbott Xience PRO 48 3.0 mm x 48 mm (7120641915201);13.4.2018 11:03;-1;"";13.12.2020;08717648191688;7120641915201;Peijas BMXP BMX6
Abbott Xience PRO 48 3.0 mm x 48 mm (8013141915173);13.4.2018 11:05;1;"";11.2.2021;08717648191688;8013141915173;Peijas BMXP BMX6
Abbott Xience PRO 48 3.0 mm x 48 mm (8013141915536);13.4.2018 13:14;1;"";11.2.2021;08717648191688;8013141915536;Peijas BMXP BMX6
Abbott Xience PRO 48 3.5 mm x 48 mm (7011141915132);10.5.2017 15:09;1;"";18.1.2020;08717648191695;7011141915132;Peijas BMXP BMX6
Abbott Xience PRO 48 3.5 mm x 48 mm (7011141915167);2.11.2017 14:07;-2;"";18.1.2020;08717648191695;7011141915167;Peijas BMXP BMX6
Abbott Xience PRO 48 3.5 mm x 48 mm (7011141915168);3.4.2017 14:01;1;"";18.1.2020;08717648191695;7011141915168;Peijas BMXP BMX6
Abbott Xience PRO 48 3.5 mm x 48 mm (7081741915205);24.11.2017 10:55;1;"";27.8.2020;08717648191695;7081741915205;Peijas BMXP BMX6
Abbott Xience PRO 48 3.5 mm x 48 mm (7081741915206);19.12.2017 12:58;-1;"";27.8.2020;08717648191695;7081741915206;Peijas BMXP BMX6
Abbott Xience PRO 48 3.5 mm x 48 mm (7100541915455);6.2.2018 9:31;1;"";17.10.2020;08717648191695;7100541915455;Peijas BMXP BMX6
Abbott Xience PRO 48 3.5 mm x 48 mm (8031541915094);16.5.2018 12:11;1;"";28.3.2021;08717648191695;8031541915094;Peijas BMXP BMX6
Abbott Xience PROX 2.5 mm x 12 mm (6112141915522);3.4.2017 14:02;1;"";28.11.2019;08717648164125;6112141915522;Peijas BMXP BMX6
Abbott Xience PROX 2.5 mm x 12 mm (7020141915021);3.4.2017 14:02;1;"";8.2.2020;08717648164125;7020141915021;Peijas BMXP BMX6
Abbott Xience PROX 2.5 mm x 15 mm (7021341915358);3.4.2017 14:02;1;"";1.3.2020;08717648164132;7021341915358;Peijas BMXP BMX6
Abbott Xience PROX 2.5 mm x 15 mm (7062141915966);21.11.2017 14:08;1;"";4.7.2020;08717648164132;7062141915966;Peijas BMXP BMX6
Abbott Xience PROX 2.5 mm x 18 mm (7020141915628);16.8.2017 13:25;-1;"";12.2.2020;08717648164149;7020141915628;Peijas BMXP BMX6
Abbott Xience PROX 2.5 mm x 18 mm (7020141915629);3.4.2017 14:02;1;"";12.2.2020;08717648164149;7020141915629;Peijas BMXP BMX6
Abbott Xience PROX 2.5 mm x 18 mm (7051741915757);8.8.2017 13:24;1;"";30.5.2020;08717648164149;7051741915757;Peijas BMXP BMX6
Abbott Xience PROX 2.5 mm x 18 mm (7071241915688);16.8.2017 13:33;1;"";17.7.2020;08717648164149;7071241915688;Peijas BMXP BMX6
Abbott Xience PROX 2.5 mm x 23 mm (7021441915681);3.4.2017 14:02;1;"";1.3.2020;08717648164156;7021441915681;Peijas BMXP BMX6
Abbott Xience PROX 2.5 mm x 23 mm (7051241915994);8.8.2017 14:55;1;"";17.5.2020;08717648164156;7051241915994;Peijas BMXP BMX6
Abbott Xience PROX 2.5 mm x 28 mm (8022741915702);8.5.2018 14:51;1;"";14.3.2021;08717648164163;8022741915702;Peijas BMXP BMX6
Abbott Xience PROX 2.5 mm x 33 mm (7071141915535);2.11.2017 14:12;1;"";16.7.2020;08717648164170;7071141915535;Peijas BMXP BMX6
Abbott Xience PROX 2.5 mm x 38 mm (7010441915711);20.4.2018 13:01;1;"";11.1.2020;08717648164187;7010441915711;Peijas BMXP BMX6
Abbott Xience PROX 2.5 mm x 38 mm (7022741915213);23.5.2017 13:26;1;"";7.3.2020;08717648164187;7022741915213;Peijas BMXP BMX6
Abbott Xience PROX 2.5 mm x 38 mm (7022741915376);20.4.2018 12:57;-1;"";7.3.2020;08717648164187;7022741915376;Peijas BMXP BMX6
Abbott Xience PROX 2.5 mm x 8 mm (7030841915021);15.6.2017 14:36;1;"";19.3.2020;08717648164118;7030841915021;Peijas BMXP BMX6
Abbott Xience PROX 3.0 mm 33 mm (7022341915078);2.6.2017 14:01;-2;"";8.3.2020;08717648164378;7022341915078;Peijas BMXP BMX6
Abbott Xience PROX 3.0 mm 33 mm (7022341915079);9.5.2017 11:47;1;"";8.3.2020;08717648164378;7022341915079;Peijas BMXP BMX6
Abbott Xience PROX 3.0 mm 33 mm (7022341915714);10.5.2017 15:09;1;"";8.3.2020;08717648164378;7022341915714;Peijas BMXP BMX6
Abbott Xience PROX 3.0 mm 33 mm (7030141915417);29.3.2018 13:35;1;"";7.3.2020;08717648164378;7030141915417;Peijas BMXP BMX6
Abbott Xience PROX 3.0 mm 33 mm (7030141915503);24.4.2018 13:44;-1;"";7.3.2020;08717648164378;7030141915503;Peijas BMXP BMX6
Abbott Xience PROX 3.0 mm 33 mm (7031341915284);2.8.2017 13:06;-1;"";21.3.2020;08717648164378;7031341915284;Peijas BMXP BMX6
Abbott Xience PROX 3.0 mm 33 mm (7031341915495);23.5.2017 13:26;1;"";21.3.2020;08717648164378;7031341915495;Peijas BMXP BMX6
Abbott Xience PROX 3.0 mm 33 mm (7040441915014);19.9.2017 11:22;-1;"";10.4.2020;08717648164378;7040441915014;Peijas BMXP BMX6
Abbott Xience PROX 3.0 mm 33 mm (7040441915020);2.8.2017 13:09;1;"";10.4.2020;08717648164378;7040441915020;Peijas BMXP BMX6
Abbott Xience PROX 3.0 mm 33 mm (8022141915342);28.5.2018 9:54;1;"";6.3.2021;08717648164378;8022141915342;Peijas BMXP BMX6
Abbott Xience PROX 3.0 mm 33 mm (8022141916687);24.4.2018 13:52;1;"";6.3.2021;08717648164378;8022141916687;Peijas BMXP BMX6
Abbott Xience PROX 3.0 mm x 12 mm (7022141915676);20.7.2017 13:23;-1;"";29.2.2020;08717648164323;7022141915676;Peijas BMXP BMX6
Abbott Xience PROX 3.0 mm x 12 mm (7022141915931);3.4.2017 14:12;1;"";29.2.2020;08717648164323;7022141915931;Peijas BMXP BMX6
Abbott Xience PROX 3.0 mm x 12 mm (7051741915310);30.8.2017 9:18;-1;"";23.5.2020;08717648164323;7051741915310;Peijas BMXP BMX6
Abbott Xience PROX 3.0 mm x 12 mm (7051741915766);26.7.2017 11:33;1;"";23.5.2020;08717648164323;7051741915766;Peijas BMXP BMX6
Abbott Xience PROX 3.0 mm x 12 mm (7072041915259);22.3.2018 13:38;1;"";31.7.2020;08717648164323;7072041915259;Peijas BMXP BMX6
Abbott Xience PROX 3.0 mm x 12 mm (7072041915265);13.4.2018 11:03;-2;"";31.7.2020;08717648164323;7072041915265;Peijas BMXP BMX6
Abbott Xience PROX 3.0 mm x 12 mm (7072041915266);30.8.2017 9:26;1;"";31.7.2020;08717648164323;7072041915266;Peijas BMXP BMX6
Abbott Xience PROX 3.0 mm x 12 mm (7102441915627);22.3.2018 13:23;-1;"";1.11.2020;08717648164323;7102441915627;Peijas BMXP BMX6
