Abbott NC TREK 2.0 mm x 15 mm/RX (71211G1914850);08717648151651;71211G1;2020-11-30;0
Abbott NC TREK 3.5 mm x 15 mm/RX (70826G1913979);08717648151989;70826G1;2020-07-31;1
Abbott NC TREK 4.5 mm x 8 mm/RX (71102G1913312);08717648152092;71102G1;2020-10-31;1
Abbott Xience 3.5 mm x 33 mm (7022141915301);08717648161896;7022141;2020-02-27;0
Abbott Xience 3.5 mm x 33 mm (7062941915353);08717648161896;7062941;2020-07-05;0
Abbott Xience 3.5 mm x 33 mm (7072041915040);08717648161896;7072041;2020-07-31;0
Abbott Xience 3.5 mm x 33 mm (7090641915392);08717648161896;7090641;2020-09-12;1
Abbott Xience PRO 48 2.5 mm x 48 mm (7120641915165);08717648191671;7120641;2020-12-13;1
Abbott Xience PRO 48 3.0 mm x 48 mm (7010941915112);08717648191688;7010941;2020-01-18;1
Abbott Xience PRO 48 3.0 mm x 48 mm (7120641915032);08717648191688;7120641;2020-12-13;0
Abbott Xience PRO 48 3.0 mm x 48 mm (8013141915173);08717648191688;8013141;2021-02-11;2
Abbott Xience PRO 48 3.5 mm x 48 mm (7011141915132);08717648191695;7011141;2020-01-18;0
Abbott Xience PRO 48 3.5 mm x 48 mm (7081741915205);08717648191695;7081741;2020-08-27;0
Abbott Xience PRO 48 3.5 mm x 48 mm (7100541915455);08717648191695;7100541;2020-10-17;1
Abbott Xience PRO 48 3.5 mm x 48 mm (8031541915094);08717648191695;8031541;2021-03-28;1
Abbott Xience PROX 2.5 mm x 12 mm (6112141915522);08717648164125;6112141;2019-11-28;1
Abbott Xience PROX 2.5 mm x 12 mm (7020141915021);08717648164125;7020141;2020-02-08;1
Abbott Xience PROX 2.5 mm x 15 mm (7021341915358);08717648164132;7021341;2020-03-01;1
Abbott Xience PROX 2.5 mm x 15 mm (7062141915966);08717648164132;7062141;2020-07-04;1
Abbott Xience PROX 2.5 mm x 18 mm (7020141915628);08717648164149;7020141;2020-02-12;0
Abbott Xience PROX 2.5 mm x 18 mm (7051741915757);08717648164149;7051741;2020-05-30;1
Abbott Xience PROX 2.5 mm x 18 mm (7071241915688);08717648164149;7071241;2020-07-17;1
Abbott Xience PROX 2.5 mm x 23 mm (7021441915681);08717648164156;7021441;2020-03-01;1
Abbott Xience PROX 2.5 mm x 23 mm (7051241915994);08717648164156;7051241;2020-05-17;1
Abbott Xience PROX 2.5 mm x 28 mm (8022741915702);08717648164163;8022741;2021-03-14;1
Abbott Xience PROX 2.5 mm x 33 mm (7071141915535);08717648164170;7071141;2020-07-16;1
Abbott Xience PROX 2.5 mm x 38 mm (7010441915711);08717648164187;7010441;2020-01-11;1
Abbott Xience PROX 2.5 mm x 38 mm (7022741915213);08717648164187;7022741;2020-03-07;0
Abbott Xience PROX 2.5 mm x 8 mm (7030841915021);08717648164118;7030841;2020-03-19;1
Abbott Xience PROX 3.0 mm 33 mm (7022341915078);08717648164378;7022341;2020-03-08;0
Abbott Xience PROX 3.0 mm 33 mm (7030141915417);08717648164378;7030141;2020-03-07;0
Abbott Xience PROX 3.0 mm 33 mm (7031341915284);08717648164378;7031341;2020-03-21;0
Abbott Xience PROX 3.0 mm 33 mm (7040441915014);08717648164378;7040441;2020-04-10;0
Abbott Xience PROX 3.0 mm 33 mm (8022141915342);08717648164378;8022141;2021-03-06;2
Abbott Xience PROX 3.0 mm x 12 mm (7022141915676);08717648164323;7022141;2020-02-29;0
Abbott Xience PROX 3.0 mm x 12 mm (7051741915310);08717648164323;7051741;2020-05-23;0
Abbott Xience PROX 3.0 mm x 12 mm (7072041915259);08717648164323;7072041;2020-07-31;0
