Nimi;Muutettu;Määrä(Tuote);Määrä;Viimeinen käyttöpäivä;barcode tuote;Lot;Varasto
BioFreedom 2.50 x 18 mm (W16120328D);1.12.2017 14:39;1;"";27.12.2018;08888893014487;W16120328D;Rovaniemi Kaupintavarasto BMXP
BioFreedom 2.50 x 24 mm (W17100299H);7.2.2018 11:10;1;"";30.4.2019;08888893014494;W17100299H;Rovaniemi Kaupintavarasto BMXP
BioFreedom 2.50 x 28 mm (W17070179Z);26.2.2018 13:59;1;"";19.7.2019;08888893014500;W17070179Z;Rovaniemi Kaupintavarasto BMXP
BioFreedom 2.75 x 18 mm (W17010133);11.10.2017 13:22;1;"";16.7.2018;08888893014562;W17010133;Rovaniemi Kaupintavarasto BMXP
BioFreedom 2.75 x 18 mm (W17010133D);7.2.2018 11:10;1;"";16.1.2019;08888893014562;W17010133D;Rovaniemi Kaupintavarasto BMXP
BioFreedom 3.00 x 14 mm (W16120251D);20.10.2017 11:14;1;"";21.12.2018;08888893014630;W16120251D;Rovaniemi Kaupintavarasto BMXP
BioFreedom 3.00 x 14 mm (W16120349D);19.12.2017 10:07;1;"";27.12.2018;08888893014630;W16120349D;Rovaniemi Kaupintavarasto BMXP
BioFreedom 3.00 x 18 mm (W16120252);7.9.2017 14:12;1;"";21.6.2018;08888893014647;W16120252;Rovaniemi Kaupintavarasto BMXP
BioFreedom 3.00 x 18 mm (W16120329);7.9.2017 14:14;1;"";27.6.2018;08888893014647;W16120329;Rovaniemi Kaupintavarasto BMXP
BioFreedom 3.00 x 24 mm (W17010137);20.9.2017 13:11;1;"";16.7.2018;08888893014654;W17010137;Rovaniemi Kaupintavarasto BMXP
BioFreedom 3.00 x 24 mm (W17050523);20.10.2017 11:14;1;"";6.12.2018;08888893014654;W17050523;Rovaniemi Kaupintavarasto BMXP
BioFreedom 3.00 x 28 mm (W16100142);14.7.2017 9:43;1;"";12.4.2018;08888893014661;W16100142;Rovaniemi Kaupintavarasto BMXP
BioFreedom 3.50 x 14 mm (W17070129);1.12.2017 14:39;1;"";13.1.2019;08888893014715;W17070129;Rovaniemi Kaupintavarasto BMXP
BioFreedom 3.50 x 18 mm (W17030317D);29.11.2017 13:26;1;"";22.3.2019;08888893014722;W17030317D;Rovaniemi Kaupintavarasto BMXP
BioFreedom 3.50 x 24 mm (W17010139);7.9.2017 14:14;1;"";16.7.2018;08888893014739;W17010139;Rovaniemi Kaupintavarasto BMXP
BioFreedom 3.50 x 28 mm (W16080102);26.6.2017 15:03;1;"";11.2.2018;08888893014746;W16080102;Rovaniemi Kaupintavarasto BMXP
BioMatrix Alpha 2.25 x 14 mm (W17120175);26.2.2018 13:56;1;"";13.12.2019;08888893018652;W17120175;Rovaniemi Kaupintavarasto BMXP
BioMatrix Alpha 2.5 x 09 mm (W16050111D);26.1.2018 14:33;-1;"";9.5.2018;08888893018690;W16050111D;Rovaniemi Kaupintavarasto BMXP
BioMatrix Alpha 2.5 x 09 mm (W16050390D);20.11.2017 14:27;1;"";1.6.2018;08888893018690;W16050390D;Rovaniemi Kaupintavarasto BMXP
BioMatrix Alpha 2.5 x 09 mm (W17030324);27.2.2018 11:29;1;"";22.3.2019;08888893018690;W17030324;Rovaniemi Kaupintavarasto BMXP
BioMatrix Alpha 2.5 x 14 mm (W16040284D);20.9.2017 13:12;2;"";20.4.2018;08888893018706;W16040284D;Rovaniemi Kaupintavarasto BMXP
