BioFreedom 2.50 x 18 mm (W16120328D);08888893014487;W16120328D;2018-12-27;1
BioFreedom 2.50 x 24 mm (W17100299H);08888893014494;W17100299H;2019-04-30;1
BioFreedom 2.50 x 28 mm (W17070179Z);08888893014500;W17070179Z;2019-07-19;1
BioFreedom 2.75 x 18 mm (W17010133);08888893014562;W17010133;2018-07-16;1
BioFreedom 2.75 x 18 mm (W17010133D);08888893014562;W17010133D;2019-01-16;1
BioFreedom 3.00 x 14 mm (W16120251D);08888893014630;W16120251D;2018-12-21;1
BioFreedom 3.00 x 14 mm (W16120349D);08888893014630;W16120349D;2018-12-27;1
BioFreedom 3.00 x 18 mm (W16120252);08888893014647;W16120252;2018-06-21;1
BioFreedom 3.00 x 18 mm (W16120329);08888893014647;W16120329;2018-06-27;1
BioFreedom 3.00 x 24 mm (W17010137);08888893014654;W17010137;2018-07-16;1
BioFreedom 3.00 x 24 mm (W17050523);08888893014654;W17050523;2018-12-06;1
BioFreedom 3.00 x 28 mm (W16100142);08888893014661;W16100142;2018-04-12;1
BioFreedom 3.50 x 14 mm (W17070129);08888893014715;W17070129;2019-01-13;1
BioFreedom 3.50 x 18 mm (W17030317D);08888893014722;W17030317D;2019-03-22;1
BioFreedom 3.50 x 24 mm (W17010139);08888893014739;W17010139;2018-07-16;1
BioFreedom 3.50 x 28 mm (W16080102);08888893014746;W16080102;2018-02-11;1
BioMatrix Alpha 2.25 x 14 mm (W17120175);08888893018652;W17120175;2019-12-13;1
BioMatrix Alpha 2.5 x 09 mm (W16050111D);08888893018690;W16050111D;2018-05-09;-1
BioMatrix Alpha 2.5 x 09 mm (W16050390D);08888893018690;W16050390D;2018-06-01;1
BioMatrix Alpha 2.5 x 09 mm (W17030324);08888893018690;W17030324;2019-03-22;1
BioMatrix Alpha 2.5 x 14 mm (W16040284D);08888893018706;W16040284D;2018-04-20;2
BioMatrix Alpha 2.50 x 19 mm (W16020122D);08888893018713;W16020122D;2018-02-28;2
BioMatrix Alpha 2.50 x 24 mm (W16040279D);08888893018720;W16040279D;2018-04-20;1
BioMatrix Alpha 2.75 x 14 mm (W16040533D);08888893018775;W16040533D;2018-05-03;1
BioMatrix Alpha 2.75 x 29 mm (W16050392D);08888893018805;W16050392D;2018-06-01;1
BioMatrix Alpha 2.75 x 36 mm (W17020101D);08888893018829;W17020101D;2019-02-06;1
BioMatrix Alpha 3.00 x 14 mm (W16040547D);08888893018843;W16040547D;2018-05-03;2
BioMatrix Alpha 3.00 x 19 mm (W16050179D);08888893018850;W16050179D;2018-05-11;-1
BioMatrix Alpha 3.00 x 19 mm (W18010354);08888893018850;W18010354;2020-01-22;2
BioMatrix Alpha 3.00 x 24 mm (W16050180D);08888893018867;W16050180D;2018-05-11;1
BioMatrix Alpha 3.00 x 33 mm (W18010089);08888893018881;W18010089;2020-01-10;1
BioMatrix Alpha 3.5 x 24 mm (W16040542D);08888893018935;W16040542D;2018-05-03;-1
BioMatrix Alpha 3.5 x 24 mm (W17040460);08888893018935;W17040460;2019-04-26;1
BioMatrix Alpha 3.5 x 24 mm (W17080236);08888893018935;W17080236;2019-08-25;1
BioMatrix Alpha 3.5 x 36 mm (W16020243D);08888893018966;W16020243D;2018-02-28;-1
BioMatrix Alpha 3.5 x 36 mm (W17040472);08888893018966;W17040472;2019-04-26;1
BioMatrix Alpha 3.5 x 36 mm (W17050313);08888893018966;W17050313;2019-05-22;1
BioMatrix Alpha 4.00 x 09 mm (W16030571D);08888893018973;W16030571D;2018-04-04;-1
BioMatrix Alpha 4.00 x 09 mm (W17030437);08888893018973;W17030437;2019-03-29;2
BioMatrix Flex 3.00 x 14 mm (K16020008);08888893004457;K16020008;2019-02-22;-1
