Nimi;Muutettu;Määrä(Tuote);Määrä;Viimeinen käyttöpäivä;barcode tuote;Lot;Varasto
Abbott Xience 3.5 mm x 33 mm (7011341915391);17.5.2017 14:57;-1;"";24.1.2020;08717648161896;7011341915391;Seinäjoki kaupintavarasto BMXP
Abbott Xience 3.5 mm x 33 mm (7011341915536);25.4.2017 13:53;1;"";24.1.2020;08717648161896;7011341915536;Seinäjoki kaupintavarasto BMXP
Abbott Xience 3.5 mm x 33 mm (7052441915074);26.10.2017 15:13;2;"";31.5.2020;08717648161896;7052441915074;Seinäjoki kaupintavarasto BMXP
Abbott Xience 3.5 mm x 33 mm (7052441915261);13.10.2017 13:27;-2;"";31.5.2020;08717648161896;7052441915261;Seinäjoki kaupintavarasto BMXP
Abbott Xience 3.5 mm x 33 mm (7090641915021);23.3.2018 14:56;1;"";12.9.2020;08717648161896;7090641915021;Seinäjoki kaupintavarasto BMXP
Abbott Xience 3.5 mm x 33 mm (7111841915065);23.3.2018 14:53;-1;"";26.11.2020;08717648161896;7111841915065;Seinäjoki kaupintavarasto BMXP
Abbott Xience 3.5 mm x 33 mm (7111841915388);23.2.2018 8:29;1;"";26.11.2020;08717648161896;7111841915388;Seinäjoki kaupintavarasto BMXP
Abbott Xience 3.5 mm x 33 mm (8020241915242);3.5.2018 9:58;1;"";11.2.2021;08717648161896;8020241915242;Seinäjoki kaupintavarasto BMXP
Abbott Xience PRO 48 2.5 mm x 48 mm (6121541915035);27.3.2017 21:11;1;"";2.1.2020;08717648191671;6121541915035;Seinäjoki kaupintavarasto BMXP
Abbott Xience PRO 48 2.5 mm x 48 mm (7100242915132);8.2.2018 10:28;1;"";8.10.2020;08717648191671;7100242915132;Seinäjoki kaupintavarasto BMXP
Abbott Xience PRO 48 3.0 mm x 48 mm (8013141915227);23.3.2018 14:55;1;"";11.2.2021;08717648191688;8013141915227;Seinäjoki kaupintavarasto BMXP
Abbott Xience PRO 48 3.5 mm x 48 mm (6083141915838);11.4.2017 14:45;1;"";11.9.2019;08717648191695;6083141915838;Seinäjoki kaupintavarasto BMXP
Abbott Xience PROX 2.5 mm x 12 mm (7090741915639);26.4.2018 10:50;1;"";12.9.2020;08717648164125;7090741915639;Seinäjoki kaupintavarasto BMXP
Abbott Xience PROX 2.5 mm x 12 mm (7121343915431);8.2.2018 10:27;1;"";29.12.2020;08717648164125;7121343915431;Seinäjoki kaupintavarasto BMXP
Abbott Xience PROX 2.5 mm x 15 mm (7021341915356);7.7.2017 14:44;-1;"";1.3.2020;08717648164132;7021341915356;Seinäjoki kaupintavarasto BMXP
Abbott Xience PROX 2.5 mm x 15 mm (7021341915360);27.3.2017 21:11;1;"";1.3.2020;08717648164132;7021341915360;Seinäjoki kaupintavarasto BMXP
Abbott Xience PROX 2.5 mm x 15 mm (7030141915144);26.10.2017 15:12;1;"";13.3.2020;08717648164132;7030141915144;Seinäjoki kaupintavarasto BMXP
Abbott Xience PROX 2.5 mm x 15 mm (7030141916129);11.9.2017 10:43;-1;"";13.3.2020;08717648164132;7030141916129;Seinäjoki kaupintavarasto BMXP
Abbott Xience PROX 2.5 mm x 15 mm (7041841915313);18.10.2017 9:49;-2;"";25.4.2020;08717648164132;7041841915313;Seinäjoki kaupintavarasto BMXP
Abbott Xience PROX 2.5 mm x 15 mm (7041841916171);11.9.2017 10:46;1;"";25.4.2020;08717648164132;7041841916171;Seinäjoki kaupintavarasto BMXP
Abbott Xience PROX 2.5 mm x 15 mm (7041841916172);11.9.2017 10:46;1;"";25.4.2020;08717648164132;7041841916172;Seinäjoki kaupintavarasto BMXP
Abbott Xience PROX 2.5 mm x 15 mm (8030741915133);30.5.2018 9:51;1;"";18.3.2021;08717648164132;8030741915133;Seinäjoki kaupintavarasto BMXP
Abbott Xience PROX 2.5 mm x 15 mm (8030741916233);28.5.2018 11:08;1;"";18.3.2021;08717648164132;8030741916233;Seinäjoki kaupintavarasto BMXP
Abbott Xience PROX 2.5 mm x 15 mm (8030741916277);18.4.2018 14:34;1;"";18.3.2021;08717648164132;8030741916277;Seinäjoki kaupintavarasto BMXP
Abbott Xience PROX 2.5 mm x 18 mm (7020141915631);31.7.2017 11:01;-2;"";12.2.2020;08717648164149;7020141915631;Seinäjoki kaupintavarasto BMXP
Abbott Xience PROX 2.5 mm x 18 mm (7020141915632);27.3.2017 21:11;1;"";12.2.2020;08717648164149;7020141915632;Seinäjoki kaupintavarasto BMXP
Abbott Xience PROX 2.5 mm x 18 mm (7020141915633);27.3.2017 21:11;1;"";12.2.2020;08717648164149;7020141915633;Seinäjoki kaupintavarasto BMXP
Abbott Xience PROX 2.5 mm x 18 mm (7031341915387);17.1.2018 12:55;-1;"";21.3.2020;08717648164149;7031341915387;Seinäjoki kaupintavarasto BMXP
Abbott Xience PROX 2.5 mm x 18 mm (7031341915618);17.5.2017 11:28;1;"";21.3.2020;08717648164149;7031341915618;Seinäjoki kaupintavarasto BMXP
Abbott Xience PROX 2.5 mm x 18 mm (7071241915481);12.4.2018 13:08;1;"";17.7.2020;08717648164149;7071241915481;Seinäjoki kaupintavarasto BMXP
Abbott Xience PROX 2.5 mm x 18 mm (7090641915958);14.11.2017 14:29;1;"";12.9.2020;08717648164149;7090641915958;Seinäjoki kaupintavarasto BMXP
Abbott Xience PROX 2.5 mm x 18 mm (7112041915936);17.1.2018 13:00;1;"";27.11.2020;08717648164149;7112041915936;Seinäjoki kaupintavarasto BMXP
Abbott Xience PROX 2.5 mm x 18 mm (7121641915524);8.2.2018 10:27;1;"";1.1.2021;08717648164149;7121641915524;Seinäjoki kaupintavarasto BMXP
Abbott Xience PROX 2.5 mm x 23 mm (7021441915800);18.9.2017 11:11;-1;"";1.3.2020;08717648164156;7021441915800;Seinäjoki kaupintavarasto BMXP
Abbott Xience PROX 2.5 mm x 23 mm (7021441915804);30.3.2017 10:50;1;"";1.3.2020;08717648164156;7021441915804;Seinäjoki kaupintavarasto BMXP
Abbott Xience PROX 2.5 mm x 23 mm (7120241915552);5.4.2018 12:22;1;"";6.12.2020;08717648164156;7120241915552;Seinäjoki kaupintavarasto BMXP
Abbott Xience PROX 2.5 mm x 23 mm (8010141915035);23.4.2018 14:43;1;"";9.1.2021;08717648164156;8010141915035;Seinäjoki kaupintavarasto BMXP
Abbott Xience PROX 2.5 mm x 23 mm (8022241915037);28.5.2018 11:08;1;"";6.3.2021;08717648164156;8022241915037;Seinäjoki kaupintavarasto BMXP
Abbott Xience PROX 2.5 mm x 28 mm (7082541915569);15.1.2018 11:09;1;"";5.9.2020;08717648164163;7082541915569;Seinäjoki kaupintavarasto BMXP
Abbott Xience PROX 2.5 mm x 28 mm (7121441915175);2.2.2018 14:19;1;"";20.12.2020;08717648164163;7121441915175;Seinäjoki kaupintavarasto BMXP
Abbott Xience PROX 2.5 mm x 28 mm (7121441915176);8.2.2018 10:27;1;"";20.12.2020;08717648164163;7121441915176;Seinäjoki kaupintavarasto BMXP
Abbott Xience PROX 2.5 mm x 33 mm (7011741915269);21.6.2017 14:49;-2;"";24.1.2020;08717648164170;7011741915269;Seinäjoki kaupintavarasto BMXP
Abbott Xience PROX 2.5 mm x 33 mm (7011741915385);23.5.2017 13:43;1;"";24.1.2020;08717648164170;7011741915385;Seinäjoki kaupintavarasto BMXP
Abbott Xience PROX 2.5 mm x 33 mm (7040441915617);29.1.2018 14:54;-1;"";12.4.2020;08717648164170;7040441915617;Seinäjoki kaupintavarasto BMXP
Abbott Xience PROX 2.5 mm x 33 mm (7040441915618);21.6.2017 14:50;1;"";12.4.2020;08717648164170;7040441915618;Seinäjoki kaupintavarasto BMXP
Abbott Xience PROX 2.5 mm x 33 mm (7071141915347);19.10.2017 8:12;1;"";16.7.2020;08717648164170;7071141915347;Seinäjoki kaupintavarasto BMXP
Abbott Xience PROX 2.5 mm x 33 mm (7101341915257);29.1.2018 14:56;1;"";24.10.2020;08717648164170;7101341915257;Seinäjoki kaupintavarasto BMXP
Abbott Xience PROX 2.5 mm x 33 mm (7121841915083);8.2.2018 10:20;1;"";7.1.2021;08717648164170;7121841915083;Seinäjoki kaupintavarasto BMXP
Abbott Xience PROX 2.5 mm x 38 mm (7060641915225);21.11.2017 14:54;1;"";12.6.2020;08717648164187;7060641915225;Seinäjoki kaupintavarasto BMXP
Abbott Xience PROX 2.5 mm x 38 mm (7111741915012);8.2.2018 10:20;1;"";26.11.2020;08717648164187;7111741915012;Seinäjoki kaupintavarasto BMXP
Abbott Xience PROX 2.5 mm x 8 mm (6121541915079);27.3.2017 21:11;1;"";5.1.2020;08717648164118;6121541915079;Seinäjoki kaupintavarasto BMXP
Abbott Xience PROX 2.5 mm x 8 mm (7112441915075);8.2.2018 10:20;1;"";3.12.2020;08717648164118;7112441915075;Seinäjoki kaupintavarasto BMXP
Abbott Xience PROX 2.75 mm x 12 mm (7012641915118);8.6.2017 9:39;-1;"";7.2.2020;08717648164224;7012641915118;Seinäjoki kaupintavarasto BMXP
Abbott Xience PROX 2.75 mm x 12 mm (7012641915346);11.4.2017 14:53;1;"";7.2.2020;08717648164224;7012641915346;Seinäjoki kaupintavarasto BMXP
Abbott Xience PROX 2.75 mm x 12 mm (7121841915104);28.5.2018 11:08;1;"";1.1.2021;08717648164224;7121841915104;Seinäjoki kaupintavarasto BMXP
Abbott Xience PROX 2.75 mm x 12 mm (8010841915350);28.5.2018 11:10;1;"";16.1.2021;08717648164224;8010841915350;Seinäjoki kaupintavarasto BMXP
Abbott Xience PROX 2.75 mm x 15 mm (7041141915389);7.7.2017 14:44;-1;"";20.4.2020;08717648164231;7041141915389;Seinäjoki kaupintavarasto BMXP
Abbott Xience PROX 2.75 mm x 15 mm (7082241915554);11.12.2017 12:57;1;"";30.8.2020;08717648164231;7082241915554;Seinäjoki kaupintavarasto BMXP
Abbott Xience PROX 2.75 mm x 15 mm (7082241916263);10.1.2018 14:36;-1;"";30.8.2020;08717648164231;7082241916263;Seinäjoki kaupintavarasto BMXP
Abbott Xience PROX 2.75 mm x 15 mm (8010541915588);8.5.2018 16:14;-1;"";17.1.2021;08717648164231;8010541915588;Seinäjoki kaupintavarasto BMXP
Abbott Xience PROX 2.75 mm x 15 mm (8010541915589);21.3.2018 14:54;1;"";17.1.2021;08717648164231;8010541915589;Seinäjoki kaupintavarasto BMXP
Abbott Xience PROX 2.75 mm x 15 mm (8022141915163);23.4.2018 14:43;1;"";8.3.2021;08717648164231;8022141915163;Seinäjoki kaupintavarasto BMXP
Abbott Xience PROX 2.75 mm x 15 mm (8022141915824);8.5.2018 16:16;1;"";8.3.2021;08717648164231;8022141915824;Seinäjoki kaupintavarasto BMXP
Abbott Xience PROX 2.75 mm x 18 mm (7110841915149);14.2.2018 12:33;1;"";14.11.2020;08717648164248;7110841915149;Seinäjoki kaupintavarasto BMXP
Abbott Xience PROX 2.75 mm x 18 mm (7110841915375);14.2.2018 12:26;-1;"";14.11.2020;08717648164248;7110841915375;Seinäjoki kaupintavarasto BMXP
Abbott Xience PROX 2.75 mm x 18 mm (7110841915429);30.5.2018 9:51;1;"";14.11.2020;08717648164248;7110841915429;Seinäjoki kaupintavarasto BMXP
Abbott Xience PROX 2.75 mm x 18 mm (7110841916339);8.2.2018 10:19;1;"";14.11.2020;08717648164248;7110841916339;Seinäjoki kaupintavarasto BMXP
Abbott Xience PROX 2.75 mm x 23 mm (7051741915693);26.10.2017 15:12;1;"";23.5.2020;08717648164255;7051741915693;Seinäjoki kaupintavarasto BMXP
