Abbott Xience 3.5 mm x 33 mm (7011341915391);08717648161896;7011341;2020-01-24;0
Abbott Xience 3.5 mm x 33 mm (7052441915074);08717648161896;7052441;2020-05-31;0
Abbott Xience 3.5 mm x 33 mm (7090641915021);08717648161896;7090641;2020-09-12;1
Abbott Xience 3.5 mm x 33 mm (7111841915065);08717648161896;7111841;2020-11-26;0
Abbott Xience 3.5 mm x 33 mm (8020241915242);08717648161896;8020241;2021-02-11;1
Abbott Xience PRO 48 2.5 mm x 48 mm (6121541915035);08717648191671;6121541;2020-01-02;1
Abbott Xience PRO 48 2.5 mm x 48 mm (7100242915132);08717648191671;7100242;2020-10-08;1
Abbott Xience PRO 48 3.0 mm x 48 mm (8013141915227);08717648191688;8013141;2021-02-11;1
Abbott Xience PRO 48 3.5 mm x 48 mm (6083141915838);08717648191695;6083141;2019-09-11;1
Abbott Xience PROX 2.5 mm x 12 mm (7090741915639);08717648164125;7090741;2020-09-12;1
Abbott Xience PROX 2.5 mm x 12 mm (7121343915431);08717648164125;7121343;2020-12-29;1
Abbott Xience PROX 2.5 mm x 15 mm (7021341915356);08717648164132;7021341;2020-03-01;0
Abbott Xience PROX 2.5 mm x 15 mm (7030141915144);08717648164132;7030141;2020-03-13;0
Abbott Xience PROX 2.5 mm x 15 mm (7041841915313);08717648164132;7041841;2020-04-25;0
Abbott Xience PROX 2.5 mm x 15 mm (8030741915133);08717648164132;8030741;2021-03-18;3
Abbott Xience PROX 2.5 mm x 18 mm (7020141915631);08717648164149;7020141;2020-02-12;0
Abbott Xience PROX 2.5 mm x 18 mm (7031341915387);08717648164149;7031341;2020-03-21;0
Abbott Xience PROX 2.5 mm x 18 mm (7071241915481);08717648164149;7071241;2020-07-17;1
Abbott Xience PROX 2.5 mm x 18 mm (7090641915958);08717648164149;7090641;2020-09-12;1
Abbott Xience PROX 2.5 mm x 18 mm (7112041915936);08717648164149;7112041;2020-11-27;1
Abbott Xience PROX 2.5 mm x 18 mm (7121641915524);08717648164149;7121641;2021-01-01;1
Abbott Xience PROX 2.5 mm x 23 mm (7021441915800);08717648164156;7021441;2020-03-01;0
Abbott Xience PROX 2.5 mm x 23 mm (7120241915552);08717648164156;7120241;2020-12-06;1
Abbott Xience PROX 2.5 mm x 23 mm (8010141915035);08717648164156;8010141;2021-01-09;1
Abbott Xience PROX 2.5 mm x 23 mm (8022241915037);08717648164156;8022241;2021-03-06;1
Abbott Xience PROX 2.5 mm x 28 mm (7082541915569);08717648164163;7082541;2020-09-05;1
Abbott Xience PROX 2.5 mm x 28 mm (7121441915175);08717648164163;7121441;2020-12-20;2
Abbott Xience PROX 2.5 mm x 33 mm (7011741915269);08717648164170;7011741;2020-01-24;-1
Abbott Xience PROX 2.5 mm x 33 mm (7040441915617);08717648164170;7040441;2020-04-12;0
Abbott Xience PROX 2.5 mm x 33 mm (7071141915347);08717648164170;7071141;2020-07-16;1
Abbott Xience PROX 2.5 mm x 33 mm (7101341915257);08717648164170;7101341;2020-10-24;1
Abbott Xience PROX 2.5 mm x 33 mm (7121841915083);08717648164170;7121841;2021-01-07;1
Abbott Xience PROX 2.5 mm x 38 mm (7060641915225);08717648164187;7060641;2020-06-12;1
Abbott Xience PROX 2.5 mm x 38 mm (7111741915012);08717648164187;7111741;2020-11-26;1
Abbott Xience PROX 2.5 mm x 8 mm (6121541915079);08717648164118;6121541;2020-01-05;1
Abbott Xience PROX 2.5 mm x 8 mm (7112441915075);08717648164118;7112441;2020-12-03;1
Abbott Xience PROX 2.75 mm x 12 mm (7012641915118);08717648164224;7012641;2020-02-07;0
Abbott Xience PROX 2.75 mm x 12 mm (7121841915104);08717648164224;7121841;2021-01-01;1
Abbott Xience PROX 2.75 mm x 12 mm (8010841915350);08717648164224;8010841;2021-01-16;1
Abbott Xience PROX 2.75 mm x 15 mm (7041141915389);08717648164231;7041141;2020-04-20;-1
Abbott Xience PROX 2.75 mm x 15 mm (7082241915554);08717648164231;7082241;2020-08-30;0
Abbott Xience PROX 2.75 mm x 15 mm (8010541915588);08717648164231;8010541;2021-01-17;0
Abbott Xience PROX 2.75 mm x 15 mm (8022141915163);08717648164231;8022141;2021-03-08;2
Abbott Xience PROX 2.75 mm x 18 mm (7110841915149);08717648164248;7110841;2020-11-14;2
Abbott Xience PROX 2.75 mm x 23 mm (7051741915693);08717648164255;7051741;2020-05-23;0
Abbott Xience PROX 2.75 mm x 23 mm (7060942915428);08717648164255;7060942;2020-06-20;0
Abbott Xience PROX 2.75 mm x 23 mm (7071741915342);08717648164255;7071741;2020-07-26;0
Abbott Xience PROX 2.75 mm x 23 mm (7082441915463);08717648164255;7082441;2020-09-04;0
Abbott Xience PROX 2.75 mm x 23 mm (7111641915309);08717648164255;7111641;2020-11-20;0
Abbott Xience PROX 2.75 mm x 23 mm (7121541915177);08717648164255;7121541;2021-01-01;1
Abbott Xience PROX 2.75 mm x 23 mm (8012641915589);08717648164255;8012641;2021-02-08;1
Abbott Xience PROX 2.75 mm x 28 mm (7040341915739);08717648164262;7040341;2020-04-12;0
Abbott Xience PROX 2.75 mm x 28 mm (7102741915313);08717648164262;7102741;2020-11-09;0
Abbott Xience PROX 2.75 mm x 28 mm (8031541915756);08717648164262;8031541;2021-03-28;2
Abbott Xience PROX 2.75 mm x 33 mm (6101941915646);08717648164279;6101941;2019-10-25;1
Abbott Xience PROX 2.75 mm x 33 mm (7012441915500);08717648164279;7012441;2020-02-07;0
Abbott Xience PROX 2.75 mm x 33 mm (7022341915100);08717648164279;7022341;2020-03-07;0
Abbott Xience PROX 2.75 mm x 33 mm (7102641915048);08717648164279;7102641;2020-11-02;0
Abbott Xience PROX 2.75 mm x 33 mm (8020641915907);08717648164279;8020641;2021-02-14;1
Abbott Xience PROX 2.75 mm x 38 mm (7022441915446);08717648164286;7022441;2020-03-05;1
Abbott Xience PROX 2.75 mm x 38 mm (7042741915151);08717648164286;7042741;2020-05-03;0
Abbott Xience PROX 2.75 mm x 38 mm (7112942915009);08717648164286;7112942;2020-12-11;1
Abbott Xience PROX 3.0 mm 33 mm (7030141915389);08717648164378;7030141;2020-03-07;0
Abbott Xience PROX 3.0 mm 33 mm (7040441915015);08717648164378;7040441;2020-04-10;0
Abbott Xience PROX 3.0 mm 33 mm (7111741915350);08717648164378;7111741;2020-11-27;1
Abbott Xience PROX 3.0 mm 33 mm (8011041915117);08717648164378;8011041;2021-01-17;2
Abbott Xience PROX 3.0 mm x 12 mm (7012641915708);08717648164323;7012641;2020-02-07;0
Abbott Xience PROX 3.0 mm x 12 mm (7051741916023);08717648164323;7051741;2020-05-23;1
Abbott Xience PROX 3.0 mm x 12 mm (7112941915661);08717648164323;7112941;2020-12-05;2
Abbott Xience PROX 3.0 mm x 15 mm (7032341915490);08717648164330;7032341;2020-04-04;0
Abbott Xience PROX 3.0 mm x 15 mm (7052641915429);08717648164330;7052641;2020-06-06;0
Abbott Xience PROX 3.0 mm x 15 mm (7082241915195);08717648164330;7082241;2020-08-28;0
Abbott Xience PROX 3.0 mm x 15 mm (7112441915751);08717648164330;7112441;2020-11-30;2
Abbott Xience PROX 3.0 mm x 15 mm (8020541915671);08717648164330;8020541;2021-02-11;2
Abbott Xience PROX 3.0 mm x 18 mm (7021441915738);08717648164347;7021441;2020-02-29;0
Abbott Xience PROX 3.0 mm x 18 mm (7021541915645);08717648164347;7021541;2020-02-29;0
Abbott Xience PROX 3.0 mm x 18 mm (7050441915231);08717648164347;7050441;2020-05-16;0
Abbott Xience PROX 3.0 mm x 18 mm (7052541915094);08717648164347;7052541;2020-06-06;0
Abbott Xience PROX 3.0 mm x 18 mm (7071841915710);08717648164347;7071841;2020-07-30;0
Abbott Xience PROX 3.0 mm x 18 mm (7102741915312);08717648164347;7102741;2020-11-05;0
Abbott Xience PROX 3.0 mm x 18 mm (7120341915002);08717648164347;7120341;2020-12-06;0
Abbott Xience PROX 3.0 mm x 18 mm (7122141916131);08717648164347;7122141;2021-01-08;1
Abbott Xience PROX 3.0 mm x 18 mm (8020541915104);08717648164347;8020541;2021-02-11;2
Abbott Xience PROX 3.0 mm x 18 mm (8030541915233);08717648164347;8030541;2021-03-14;1
Abbott Xience PROX 3.0 mm x 23 mm (7021741915273);08717648164354;7021741;2020-02-29;0
Abbott Xience PROX 3.0 mm x 23 mm (7031041915621);08717648164354;7031041;2020-03-21;1
Abbott Xience PROX 3.0 mm x 23 mm (7081441915607);08717648164354;7081441;2020-08-24;0
Abbott Xience PROX 3.0 mm x 23 mm (7083041915057);08717648164354;7083041;2020-09-05;0
Abbott Xience PROX 3.0 mm x 23 mm (7110341915410);08717648164354;7110341;2020-11-13;0
